Position_ID,Department_ID,Position_Title,Job_Level,Business_Impact_Score_1_5,Operational_Dependency_Score_1_5,Knowledge_Specialization_Score_1_5,Cross_Function_Dependency_Score_1_5,Max_Acceptable_Vacancy_Days,Promotion_Ramp_Up_Days,Transfer_Ramp_Up_Days,Business_Continuity_Weight_pct,Skill_Coverage_Weight_pct,Cost_Efficiency_Weight_pct,Assumption_Status,Assumption_Effective_Date
POS-020,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-021,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-022,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-023,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-024,DEPARTMENT-007,Systems Administrator,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-025,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-026,DEPARTMENT-006,Operations Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-027,DEPARTMENT-004,Senior Support Executive,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-028,DEPARTMENT-003,Senior Account Manager,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-029,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-030,DEPARTMENT-002,Senior Financial Analyst,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-031,DEPARTMENT-005,Senior Software Engineer,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-032,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-033,DEPARTMENT-007,IT Support Engineer,Junior,2,3,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-034,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-035,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-036,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-037,DEPARTMENT-007,Systems Administrator,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-038,DEPARTMENT-004,Senior Support Executive,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-039,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-040,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-041,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-042,DEPARTMENT-004,Senior Support Executive,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-043,DEPARTMENT-006,Operations Analyst,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-044,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-045,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-046,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-047,DEPARTMENT-002,Senior Financial Analyst,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-048,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-049,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-050,DEPARTMENT-002,Finance Officer,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-051,DEPARTMENT-007,Senior Systems Engineer,Senior,5,5,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-052,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-053,DEPARTMENT-001,HR Officer,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-054,DEPARTMENT-005,Software Engineer I,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-055,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-056,DEPARTMENT-006,Operations Analyst,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-057,DEPARTMENT-007,IT Support Engineer,Junior,2,3,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-058,DEPARTMENT-005,Senior Software Engineer,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-059,DEPARTMENT-003,Senior Account Manager,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-060,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-061,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-062,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-063,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-064,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-065,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-066,DEPARTMENT-001,Senior HR Specialist,Senior,4,3,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-067,DEPARTMENT-006,Operations Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-068,DEPARTMENT-004,Customer Support Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-069,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-070,DEPARTMENT-005,Engineering Lead,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-071,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-072,DEPARTMENT-004,Support Team Lead,Senior,4,4,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-073,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-074,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-075,DEPARTMENT-006,Operations Analyst,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-076,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-077,DEPARTMENT-004,Support Team Lead,Senior,4,4,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-078,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-079,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-080,DEPARTMENT-005,Engineering Lead,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-081,DEPARTMENT-001,Senior HR Specialist,Senior,4,3,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-082,DEPARTMENT-005,Software Engineer I,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-083,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-084,DEPARTMENT-001,HR Generalist,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-085,DEPARTMENT-001,Senior HR Specialist,Senior,4,3,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-086,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-087,DEPARTMENT-001,HR Manager,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-088,DEPARTMENT-006,Operations Analyst,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-089,DEPARTMENT-001,HR Officer,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-090,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-091,DEPARTMENT-002,Senior Financial Analyst,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-092,DEPARTMENT-005,Senior Software Engineer,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-093,DEPARTMENT-003,Senior Account Manager,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-094,DEPARTMENT-007,Senior Systems Engineer,Senior,5,5,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-095,DEPARTMENT-007,IT Operations Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-096,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-097,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-098,DEPARTMENT-004,Senior Support Executive,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-099,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-100,DEPARTMENT-005,Senior Software Engineer,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-101,DEPARTMENT-007,Systems Administrator,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-102,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-103,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-104,DEPARTMENT-007,Senior Systems Engineer,Senior,5,5,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-105,DEPARTMENT-003,Sales Manager,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-106,DEPARTMENT-001,Senior HR Specialist,Senior,4,3,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-107,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-108,DEPARTMENT-001,HR Generalist,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-109,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-110,DEPARTMENT-007,IT Support Engineer,Junior,2,3,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-111,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-112,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-113,DEPARTMENT-007,IT Support Engineer,Junior,2,3,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-114,DEPARTMENT-001,HR Generalist,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-115,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-116,DEPARTMENT-005,Software Engineer I,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-117,DEPARTMENT-005,Software Engineer I,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-118,DEPARTMENT-004,Senior Support Executive,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-119,DEPARTMENT-004,Support Team Lead,Senior,4,4,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-120,DEPARTMENT-006,Operations Analyst,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-121,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-122,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-123,DEPARTMENT-002,Senior Financial Analyst,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-124,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-125,DEPARTMENT-003,Senior Account Manager,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-126,DEPARTMENT-004,Support Team Lead,Senior,4,4,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-127,DEPARTMENT-001,HR Generalist,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-128,DEPARTMENT-004,Customer Support Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-129,DEPARTMENT-005,Engineering Lead,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-130,DEPARTMENT-001,Senior HR Specialist,Senior,4,3,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-131,DEPARTMENT-007,Systems Administrator,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-132,DEPARTMENT-007,IT Support Engineer,Junior,2,3,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-133,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-134,DEPARTMENT-007,Systems Administrator,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-135,DEPARTMENT-004,Senior Support Executive,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-136,DEPARTMENT-001,HR Generalist,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-137,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-138,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-139,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-140,DEPARTMENT-002,Senior Financial Analyst,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-141,DEPARTMENT-006,Operations Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-142,DEPARTMENT-005,Engineering Lead,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-143,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-144,DEPARTMENT-004,Customer Support Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-145,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-146,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-147,DEPARTMENT-004,Customer Support Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-148,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-149,DEPARTMENT-006,Operations Analyst,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-150,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-151,DEPARTMENT-005,Software Engineer I,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-152,DEPARTMENT-007,Senior Systems Engineer,Senior,5,5,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-153,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-154,DEPARTMENT-005,Software Engineer I,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-155,DEPARTMENT-004,Senior Support Executive,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-156,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-157,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-158,DEPARTMENT-006,Operations Officer,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-159,DEPARTMENT-005,Senior Software Engineer,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-160,DEPARTMENT-002,Senior Financial Analyst,Senior,5,4,5,4,30,40,45,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-161,DEPARTMENT-002,Financial Analyst,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-162,DEPARTMENT-004,Customer Support Representative,Junior,3,4,3,2,60,25,30,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-163,DEPARTMENT-005,Software Engineer II,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-164,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-165,DEPARTMENT-003,Sales Executive,Junior,2,2,2,2,90,25,30,35,35,30,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-166,DEPARTMENT-003,Sales Manager,Lead/Manager,5,4,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-167,DEPARTMENT-003,Account Manager,Mid,3,3,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-168,DEPARTMENT-004,Support Team Lead,Senior,4,4,4,3,60,40,45,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-169,DEPARTMENT-007,IT Operations Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-170,DEPARTMENT-004,Senior Support Executive,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-171,DEPARTMENT-007,IT Operations Manager,Lead/Manager,5,5,5,4,30,50,55,45,35,20,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
POS-172,DEPARTMENT-006,Operations Analyst,Mid,3,4,3,2,60,30,35,40,35,25,NEW_SIMULATION_BUSINESS_INPUT,2026-08-01
