Employee_ID,Promotion_Base_Readiness_Score_pct,Transfer_Base_Readiness_Score_pct,Reskilling_Base_Readiness_Score_pct,Reskilling_Need_Score_pct,Current_Role_Skill_Coverage_pct,Current_Role_Mandatory_Skill_Coverage_pct,Current_Role_Skill_Gap_Count,Current_Role_Mandatory_Gap_Count,Cross_Functional_Exposure_Score_pct,Overtime_Load_pct,Attendance_Availability_pct,Simulation_Feature_Version,Source_Data_As_Of_Date,Feature_Source
EMP044,95.61,83.33,79.34,36.0,70.0,66.67,2,1,31.25,10.97,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP045,95.85,79.17,68.9,0.0,100.0,100.0,0,0,12.5,22.52,95.1,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP046,88.3,70.23,56.2,44.0,50.0,66.67,3,1,6.25,14.43,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP047,89.79,75.5,80.59,28.0,75.0,66.67,1,1,31.25,5.77,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP048,87.05,69.83,56.92,92.0,10.0,0.0,4,3,12.5,35.22,93.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP049,91.43,76.04,62.41,84.0,30.0,0.0,3,3,12.5,22.52,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP050,82.11,68.22,53.6,100.0,0.0,0.0,5,3,6.25,8.08,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP051,95.34,91.9,83.7,28.0,80.0,66.67,1,1,75.0,12.7,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP052,86.5,70.24,55.22,100.0,0.0,0.0,5,3,12.5,14.43,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP053,86.54,69.26,62.93,44.0,45.0,66.67,3,1,6.25,0.0,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP054,92.44,77.19,66.32,0.0,100.0,100.0,0,0,6.25,17.32,96.7,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP055,86.69,72.38,54.97,72.0,25.0,33.33,4,2,25.0,19.63,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP056,95.65,80.95,79.93,28.0,80.0,66.67,1,1,18.75,13.86,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP057,84.71,68.38,55.74,100.0,0.0,0.0,5,3,6.25,24.83,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP058,86.69,79.78,68.06,92.0,10.0,0.0,4,3,62.5,15.59,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP059,93.29,85.65,80.69,8.0,80.0,100.0,1,0,50.0,15.01,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP060,90.77,76.36,60.11,56.0,55.0,33.33,2,2,6.25,12.12,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP061,87.07,71.26,60.52,44.0,50.0,66.67,3,1,18.75,9.82,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP062,96.56,85.26,88.87,0.0,100.0,100.0,0,0,37.5,3.46,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP063,70.3,47.22,40.3,100.0,0.0,0.0,5,3,12.5,4.04,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP064,93.56,80.36,60.82,8.0,80.0,100.0,1,0,25.0,17.9,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP065,85.93,71.49,53.74,100.0,0.0,0.0,5,3,25.0,13.28,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP066,69.69,52.89,36.88,100.0,0.0,0.0,5,3,43.75,4.04,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP067,85.46,77.78,74.84,8.0,80.0,100.0,1,0,62.5,27.71,92.3,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP068,87.59,77.88,85.32,36.0,55.0,66.67,2,1,50.0,0.58,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP069,93.55,77.96,58.41,44.0,45.0,66.67,3,1,12.5,10.97,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP070,84.71,74.72,79.83,64.0,35.0,33.33,3,2,43.75,6.93,95.1,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP071,86.84,70.95,52.3,72.0,20.0,33.33,4,2,18.75,20.21,96.7,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP072,93.95,86.03,84.0,0.0,100.0,100.0,0,0,50.0,2.31,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP073,64.45,43.69,39.04,100.0,0.0,0.0,5,3,6.25,24.25,95.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP074,86.46,70.5,53.96,92.0,10.0,0.0,4,3,18.75,19.63,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP075,87.94,73.51,59.81,64.0,35.0,33.33,3,2,25.0,9.82,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP076,88.31,75.85,62.7,92.0,10.0,0.0,4,3,37.5,1.15,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP077,96.29,87.4,89.1,0.0,100.0,100.0,0,0,50.0,9.82,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP078,86.54,70.7,59.61,92.0,10.0,0.0,4,3,12.5,11.55,96.7,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP079,68.24,47.01,49.33,64.0,35.0,33.33,3,2,6.25,6.35,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP080,93.58,83.7,95.96,0.0,100.0,100.0,0,0,37.5,9.24,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP081,94.59,90.02,86.73,0.0,100.0,100.0,0,0,68.75,0.0,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP082,86.4,69.38,56.0,100.0,0.0,0.0,5,3,6.25,12.7,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP083,87.69,71.7,58.87,92.0,10.0,0.0,4,3,18.75,17.9,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP084,88.23,72.73,52.76,44.0,45.0,66.67,3,1,25.0,5.77,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP085,89.02,77.66,75.81,84.0,30.0,0.0,3,3,43.75,12.7,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP086,94.67,77.78,61.72,8.0,90.0,100.0,1,0,6.25,13.86,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP087,92.97,88.67,94.48,0.0,100.0,100.0,0,0,68.75,1.73,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP088,96.26,83.84,83.75,0.0,100.0,100.0,0,0,31.25,14.43,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP089,95.17,80.26,63.73,0.0,100.0,100.0,0,0,18.75,12.7,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP090,89.03,73.93,68.84,28.0,75.0,66.67,1,1,25.0,9.24,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP091,93.51,80.2,82.33,28.0,75.0,66.67,1,1,18.75,2.31,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP092,93.26,82.11,80.87,36.0,60.0,66.67,2,1,31.25,15.59,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP093,86.31,82.48,71.66,28.0,80.0,66.67,1,1,75.0,6.35,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP094,69.89,49.8,39.36,92.0,10.0,0.0,4,3,25.0,14.43,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP095,94.65,96.52,93.22,0.0,100.0,100.0,0,0,100.0,16.17,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP096,85.72,71.49,58.21,64.0,35.0,33.33,3,2,18.75,24.25,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP097,87.29,69.65,60.23,84.0,30.0,0.0,3,3,6.25,8.66,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP098,69.75,49.95,36.57,100.0,0.0,0.0,5,3,31.25,15.59,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP099,96.23,79.98,66.0,64.0,30.0,33.33,3,2,12.5,10.39,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP100,87.41,73.42,70.49,84.0,30.0,0.0,3,3,31.25,16.74,95.3,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP101,96.03,83.84,62.07,36.0,60.0,66.67,2,1,31.25,18.48,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP102,87.62,69.09,56.28,28.0,80.0,66.67,1,1,6.25,9.82,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP103,84.33,69.6,64.18,64.0,35.0,33.33,3,2,0.0,10.39,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP104,93.7,86.5,77.93,0.0,100.0,100.0,0,0,56.25,10.39,96.7,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP105,93.35,86.54,93.77,0.0,100.0,100.0,0,0,56.25,9.24,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP106,94.67,90.28,87.4,0.0,100.0,100.0,0,0,62.5,3.46,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP107,88.82,71.28,56.53,72.0,25.0,33.33,4,2,12.5,17.9,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP108,96.34,81.44,81.32,28.0,80.0,66.67,1,1,18.75,6.35,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP109,84.42,67.38,54.01,64.0,35.0,33.33,3,2,6.25,20.79,93.7,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP110,93.59,77.63,72.12,84.0,30.0,0.0,3,3,6.25,6.35,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP111,92.85,80.26,65.23,64.0,35.0,33.33,3,2,25.0,15.59,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP112,91.88,77.04,62.64,64.0,35.0,33.33,3,2,6.25,13.86,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP113,84.21,69.18,63.86,36.0,55.0,66.67,2,1,0.0,8.66,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP114,90.61,73.82,57.57,64.0,35.0,33.33,3,2,18.75,6.93,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP115,96.68,82.73,82.86,28.0,80.0,66.67,1,1,25.0,17.32,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP116,95.88,79.2,72.44,0.0,100.0,100.0,0,0,12.5,19.63,93.7,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP117,87.16,71.06,58.4,92.0,10.0,0.0,4,3,18.75,12.12,96.7,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP118,87.29,70.27,59.24,72.0,25.0,33.33,4,2,6.25,9.24,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP119,87.92,71.95,72.75,92.0,10.0,0.0,4,3,18.75,24.83,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP120,95.54,83.1,86.67,8.0,80.0,100.0,1,0,31.25,9.24,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP121,89.16,73.04,58.44,64.0,30.0,33.33,3,2,18.75,17.32,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP122,94.82,79.17,62.84,36.0,60.0,66.67,2,1,12.5,15.59,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP123,95.06,82.94,81.04,0.0,100.0,100.0,0,0,31.25,6.35,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP124,68.36,48.77,39.53,100.0,0.0,0.0,5,3,18.75,24.83,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP125,94.27,89.87,84.09,0.0,100.0,100.0,0,0,68.75,9.24,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP126,92.23,77.78,79.46,28.0,75.0,66.67,1,1,12.5,20.21,95.2,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP127,91.18,78.87,70.61,64.0,35.0,33.33,3,2,12.5,0.0,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP128,91.36,87.66,85.16,8.0,80.0,100.0,1,0,68.75,17.32,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP129,92.64,91.17,91.94,0.0,100.0,100.0,0,0,81.25,6.35,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP130,94.35,87.37,89.6,0.0,100.0,100.0,0,0,50.0,0.0,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP131,87.77,70.78,57.13,92.0,10.0,0.0,4,3,12.5,9.82,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP132,74.42,50.79,45.23,28.0,75.0,66.67,1,1,18.75,23.09,93.7,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP133,96.28,86.35,81.77,8.0,80.0,100.0,1,0,43.75,19.05,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP134,93.41,76.84,75.28,28.0,80.0,66.67,1,1,12.5,19.63,95.2,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP135,90.62,72.42,78.13,0.0,100.0,100.0,0,0,12.5,9.82,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP136,94.9,79.47,77.76,28.0,80.0,66.67,1,1,12.5,7.51,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP137,93.46,76.84,68.51,0.0,100.0,100.0,0,0,6.25,30.6,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP138,67.13,47.25,37.4,100.0,0.0,0.0,5,3,18.75,20.21,92.2,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP139,93.88,79.53,62.15,44.0,50.0,66.67,3,1,18.75,15.59,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP140,95.28,90.46,82.05,0.0,100.0,100.0,0,0,68.75,1.73,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP141,85.42,81.53,78.74,64.0,35.0,33.33,3,2,75.0,5.2,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP142,91.47,84.78,89.39,0.0,100.0,100.0,0,0,56.25,4.62,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP143,94.66,78.74,85.68,28.0,80.0,66.67,1,1,12.5,7.51,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP144,84.96,78.14,78.58,92.0,10.0,0.0,4,3,62.5,12.7,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP145,87.6,72.43,61.94,36.0,60.0,66.67,2,1,18.75,5.77,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP146,94.03,81.95,88.28,28.0,75.0,66.67,1,1,31.25,1.15,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP147,70.08,54.62,62.73,72.0,25.0,33.33,4,2,50.0,18.48,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP148,68.4,46.41,42.84,72.0,25.0,33.33,4,2,6.25,21.94,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP149,89.6,75.22,58.2,92.0,10.0,0.0,4,3,31.25,9.82,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP150,82.08,67.22,52.34,100.0,0.0,0.0,5,3,6.25,30.02,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP151,88.94,76.4,65.16,64.0,35.0,33.33,3,2,6.25,24.83,95.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP152,94.41,91.15,76.6,28.0,75.0,66.67,1,1,75.0,15.01,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP153,87.29,72.46,52.52,92.0,10.0,0.0,4,3,25.0,12.7,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP154,85.02,68.42,54.8,92.0,10.0,0.0,4,3,6.25,16.17,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP155,95.03,80.46,77.56,8.0,80.0,100.0,1,0,18.75,20.21,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP156,97.7,81.09,85.54,0.0,100.0,100.0,0,0,12.5,16.17,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP157,94.3,78.5,69.32,64.0,35.0,33.33,3,2,12.5,5.2,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP158,90.22,72.11,60.21,28.0,75.0,66.67,1,1,12.5,16.74,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP159,86.12,81.37,67.34,56.0,55.0,33.33,2,2,75.0,21.36,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP160,94.03,82.97,84.11,0.0,100.0,100.0,0,0,37.5,4.62,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP161,95.76,80.57,87.68,0.0,100.0,100.0,0,0,18.75,0.0,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP162,75.66,52.06,42.68,84.0,30.0,0.0,3,3,18.75,20.21,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP163,85.86,69.61,54.23,100.0,0.0,0.0,5,3,12.5,15.01,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP164,86.58,68.31,53.18,100.0,0.0,0.0,5,3,6.25,18.48,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP165,84.13,68.7,54.0,100.0,0.0,0.0,5,3,12.5,21.94,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP166,84.8,76.98,76.12,36.0,70.0,66.67,2,1,56.25,15.01,98.5,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP167,92.19,82.66,83.88,8.0,80.0,100.0,1,0,43.75,15.01,96.8,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP168,68.09,49.51,38.16,100.0,0.0,0.0,5,3,25.0,32.33,96.9,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP169,93.43,90.44,94.88,0.0,100.0,100.0,0,0,75.0,6.93,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP170,87.99,74.88,57.41,100.0,0.0,0.0,5,3,31.25,12.7,100.0,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
EMP171,87.32,80.2,85.18,28.0,75.0,66.67,1,1,62.5,6.93,98.4,1.0,2026-08-01,DERIVED_FROM_EXISTING_HR_DATA
