Historical_Employee_ID,Historical_Employee_Name,Department_ID,Department_Name,Last_Known_Job_Level,Historical_Status,Record_Effective_Date,Record_Purpose
HISTORICAL-EMPLOYEE-0024,Historical Training Employee 0024,DEPARTMENT-009,Training & Development,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0025,Historical Administration Employee 0025,DEPARTMENT-010,Administration & Facilities,Junior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0026,Historical Administration Employee 0026,DEPARTMENT-010,Administration & Facilities,Junior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0027,Historical Legal Employee 0027,DEPARTMENT-011,Legal & Compliance,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0028,Historical Legal Employee 0028,DEPARTMENT-011,Legal & Compliance,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0029,Historical Legal Employee 0029,DEPARTMENT-011,Legal & Compliance,Senior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0030,Historical Legal Employee 0030,DEPARTMENT-011,Legal & Compliance,Senior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0031,Historical Procurement Employee 0031,DEPARTMENT-012,Procurement & Supply Chain,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0032,Historical Procurement Employee 0032,DEPARTMENT-012,Procurement & Supply Chain,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0033,Historical Procurement Employee 0033,DEPARTMENT-012,Procurement & Supply Chain,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0034,Historical Procurement Employee 0034,DEPARTMENT-012,Procurement & Supply Chain,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0035,Historical Procurement Employee 0035,DEPARTMENT-012,Procurement & Supply Chain,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0036,Historical Logistics Employee 0036,DEPARTMENT-013,Logistics & Warehouse,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0037,Historical Logistics Employee 0037,DEPARTMENT-013,Logistics & Warehouse,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0038,Historical Logistics Employee 0038,DEPARTMENT-013,Logistics & Warehouse,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0039,Historical Logistics Employee 0039,DEPARTMENT-013,Logistics & Warehouse,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0040,Historical Production Employee 0040,DEPARTMENT-014,Production & Manufacturing,Junior,Historical Joiner,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0041,Historical Production Employee 0041,DEPARTMENT-014,Production & Manufacturing,Senior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0042,Historical Quality Employee 0042,DEPARTMENT-015,Quality Assurance,Junior,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0043,Historical Research Employee 0043,DEPARTMENT-016,Research & Development,Mid,Former Employee,2024-09-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0044,Historical HR Employee 0044,DEPARTMENT-001,HR,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0045,Historical HR Employee 0045,DEPARTMENT-001,HR,Junior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0046,Historical Finance Employee 0046,DEPARTMENT-002,Finance,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0047,Historical Finance Employee 0047,DEPARTMENT-002,Finance,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0048,Historical Sales Employee 0048,DEPARTMENT-003,Sales,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0049,Historical Customer Employee 0049,DEPARTMENT-004,Customer Support,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0050,Historical Customer Employee 0050,DEPARTMENT-004,Customer Support,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0051,Historical Customer Employee 0051,DEPARTMENT-004,Customer Support,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0052,Historical Customer Employee 0052,DEPARTMENT-004,Customer Support,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0053,Historical Engineering Employee 0053,DEPARTMENT-005,Engineering,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0054,Historical Engineering Employee 0054,DEPARTMENT-005,Engineering,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0055,Historical Operations Employee 0055,DEPARTMENT-006,Operations,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0056,Historical IT Employee 0056,DEPARTMENT-007,IT,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0057,Historical Medical Employee 0057,DEPARTMENT-008,Medical Care,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0058,Historical Medical Employee 0058,DEPARTMENT-008,Medical Care,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0059,Historical Medical Employee 0059,DEPARTMENT-008,Medical Care,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0060,Historical Medical Employee 0060,DEPARTMENT-008,Medical Care,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0061,Historical Medical Employee 0061,DEPARTMENT-008,Medical Care,Junior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0062,Historical Training Employee 0062,DEPARTMENT-009,Training & Development,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0063,Historical Training Employee 0063,DEPARTMENT-009,Training & Development,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0064,Historical Training Employee 0064,DEPARTMENT-009,Training & Development,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0065,Historical Training Employee 0065,DEPARTMENT-009,Training & Development,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0066,Historical Administration Employee 0066,DEPARTMENT-010,Administration & Facilities,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0067,Historical Legal Employee 0067,DEPARTMENT-011,Legal & Compliance,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0068,Historical Legal Employee 0068,DEPARTMENT-011,Legal & Compliance,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0069,Historical Legal Employee 0069,DEPARTMENT-011,Legal & Compliance,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0070,Historical Legal Employee 0070,DEPARTMENT-011,Legal & Compliance,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0071,Historical Procurement Employee 0071,DEPARTMENT-012,Procurement & Supply Chain,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0072,Historical Procurement Employee 0072,DEPARTMENT-012,Procurement & Supply Chain,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0073,Historical Procurement Employee 0073,DEPARTMENT-012,Procurement & Supply Chain,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0074,Historical Procurement Employee 0074,DEPARTMENT-012,Procurement & Supply Chain,Junior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0075,Historical Procurement Employee 0075,DEPARTMENT-012,Procurement & Supply Chain,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0076,Historical Logistics Employee 0076,DEPARTMENT-013,Logistics & Warehouse,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0077,Historical Logistics Employee 0077,DEPARTMENT-013,Logistics & Warehouse,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0078,Historical Logistics Employee 0078,DEPARTMENT-013,Logistics & Warehouse,Senior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0079,Historical Production Employee 0079,DEPARTMENT-014,Production & Manufacturing,Junior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0080,Historical Production Employee 0080,DEPARTMENT-014,Production & Manufacturing,Mid,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0081,Historical Production Employee 0081,DEPARTMENT-014,Production & Manufacturing,Junior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0082,Historical Quality Employee 0082,DEPARTMENT-015,Quality Assurance,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0083,Historical Research Employee 0083,DEPARTMENT-016,Research & Development,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0084,Historical Research Employee 0084,DEPARTMENT-016,Research & Development,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0085,Historical Research Employee 0085,DEPARTMENT-016,Research & Development,Junior,Historical Joiner,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0086,Historical Research Employee 0086,DEPARTMENT-016,Research & Development,Junior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0087,Historical Research Employee 0087,DEPARTMENT-016,Research & Development,Junior,Former Employee,2024-10-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0088,Historical HR Employee 0088,DEPARTMENT-001,HR,Mid,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0089,Historical HR Employee 0089,DEPARTMENT-001,HR,Senior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0090,Historical Finance Employee 0090,DEPARTMENT-002,Finance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0091,Historical Finance Employee 0091,DEPARTMENT-002,Finance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0092,Historical Finance Employee 0092,DEPARTMENT-002,Finance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0093,Historical Finance Employee 0093,DEPARTMENT-002,Finance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0094,Historical Finance Employee 0094,DEPARTMENT-002,Finance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0095,Historical Finance Employee 0095,DEPARTMENT-002,Finance,Senior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0096,Historical Finance Employee 0096,DEPARTMENT-002,Finance,Mid,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0097,Historical Sales Employee 0097,DEPARTMENT-003,Sales,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0098,Historical Sales Employee 0098,DEPARTMENT-003,Sales,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0099,Historical Sales Employee 0099,DEPARTMENT-003,Sales,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0100,Historical Customer Employee 0100,DEPARTMENT-004,Customer Support,Mid,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0101,Historical Engineering Employee 0101,DEPARTMENT-005,Engineering,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0102,Historical Engineering Employee 0102,DEPARTMENT-005,Engineering,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0103,Historical Engineering Employee 0103,DEPARTMENT-005,Engineering,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0104,Historical Engineering Employee 0104,DEPARTMENT-005,Engineering,Senior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0105,Historical Engineering Employee 0105,DEPARTMENT-005,Engineering,Junior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0106,Historical Operations Employee 0106,DEPARTMENT-006,Operations,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0107,Historical Operations Employee 0107,DEPARTMENT-006,Operations,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0108,Historical Operations Employee 0108,DEPARTMENT-006,Operations,Mid,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0109,Historical IT Employee 0109,DEPARTMENT-007,IT,Senior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0110,Historical Medical Employee 0110,DEPARTMENT-008,Medical Care,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0111,Historical Medical Employee 0111,DEPARTMENT-008,Medical Care,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0112,Historical Medical Employee 0112,DEPARTMENT-008,Medical Care,Mid,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0113,Historical Medical Employee 0113,DEPARTMENT-008,Medical Care,Senior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0114,Historical Medical Employee 0114,DEPARTMENT-008,Medical Care,Junior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0115,Historical Training Employee 0115,DEPARTMENT-009,Training & Development,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0116,Historical Training Employee 0116,DEPARTMENT-009,Training & Development,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0117,Historical Training Employee 0117,DEPARTMENT-009,Training & Development,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0118,Historical Training Employee 0118,DEPARTMENT-009,Training & Development,Senior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0119,Historical Training Employee 0119,DEPARTMENT-009,Training & Development,Senior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0120,Historical Training Employee 0120,DEPARTMENT-009,Training & Development,Junior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0121,Historical Administration Employee 0121,DEPARTMENT-010,Administration & Facilities,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0122,Historical Administration Employee 0122,DEPARTMENT-010,Administration & Facilities,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0123,Historical Legal Employee 0123,DEPARTMENT-011,Legal & Compliance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0124,Historical Procurement Employee 0124,DEPARTMENT-012,Procurement & Supply Chain,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0125,Historical Logistics Employee 0125,DEPARTMENT-013,Logistics & Warehouse,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0126,Historical Logistics Employee 0126,DEPARTMENT-013,Logistics & Warehouse,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0127,Historical Production Employee 0127,DEPARTMENT-014,Production & Manufacturing,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0128,Historical Production Employee 0128,DEPARTMENT-014,Production & Manufacturing,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0129,Historical Production Employee 0129,DEPARTMENT-014,Production & Manufacturing,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0130,Historical Production Employee 0130,DEPARTMENT-014,Production & Manufacturing,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0131,Historical Production Employee 0131,DEPARTMENT-014,Production & Manufacturing,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0132,Historical Production Employee 0132,DEPARTMENT-014,Production & Manufacturing,Mid,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0133,Historical Production Employee 0133,DEPARTMENT-014,Production & Manufacturing,Mid,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0134,Historical Production Employee 0134,DEPARTMENT-014,Production & Manufacturing,Junior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0135,Historical Quality Employee 0135,DEPARTMENT-015,Quality Assurance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0136,Historical Quality Employee 0136,DEPARTMENT-015,Quality Assurance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0137,Historical Quality Employee 0137,DEPARTMENT-015,Quality Assurance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0138,Historical Quality Employee 0138,DEPARTMENT-015,Quality Assurance,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0139,Historical Quality Employee 0139,DEPARTMENT-015,Quality Assurance,Mid,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0140,Historical Quality Employee 0140,DEPARTMENT-015,Quality Assurance,Junior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0141,Historical Quality Employee 0141,DEPARTMENT-015,Quality Assurance,Mid,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0142,Historical Research Employee 0142,DEPARTMENT-016,Research & Development,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0143,Historical Research Employee 0143,DEPARTMENT-016,Research & Development,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0144,Historical Research Employee 0144,DEPARTMENT-016,Research & Development,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0145,Historical Research Employee 0145,DEPARTMENT-016,Research & Development,Junior,Historical Joiner,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
HISTORICAL-EMPLOYEE-0146,Historical Research Employee 0146,DEPARTMENT-016,Research & Development,Junior,Former Employee,2024-11-01,Supports complete 24-month movement history without adding former staff to the active attrition population
