Organizational_Unit_ID,Organizational_Unit_Name,Organizational_Unit_Type,Parent_Organizational_Unit_ID,Department_ID,Business_Unit_ID,Work_Location_ID,Active_Status
ORGANIZATIONAL-UNIT-LGL,Legal & Compliance,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-002,DEPARTMENT-011,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-LGL-TEAM-01,Legal & Compliance Team 1,Team,ORGANIZATIONAL-UNIT-LGL,DEPARTMENT-011,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-LGL-TEAM-02,Legal & Compliance Team 2,Team,ORGANIZATIONAL-UNIT-LGL,DEPARTMENT-011,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-LGL-TEAM-03,Legal & Compliance Team 3,Team,ORGANIZATIONAL-UNIT-LGL,DEPARTMENT-011,BUSINESS-UNIT-002,LOC-HQ,Active
ORGANIZATIONAL-UNIT-PRC,Procurement & Supply Chain,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-003,DEPARTMENT-012,BUSINESS-UNIT-003,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-PRC-TEAM-01,Procurement & Supply Chain Team 1,Team,ORGANIZATIONAL-UNIT-PRC,DEPARTMENT-012,BUSINESS-UNIT-003,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-PRC-TEAM-02,Procurement & Supply Chain Team 2,Team,ORGANIZATIONAL-UNIT-PRC,DEPARTMENT-012,BUSINESS-UNIT-003,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-PRC-TEAM-03,Procurement & Supply Chain Team 3,Team,ORGANIZATIONAL-UNIT-PRC,DEPARTMENT-012,BUSINESS-UNIT-003,LOC-CENTRAL,Active
ORGANIZATIONAL-UNIT-LOG,Logistics & Warehouse,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-003,DEPARTMENT-013,BUSINESS-UNIT-003,LOC-HUB,Active
ORGANIZATIONAL-UNIT-LOG-TEAM-01,Logistics & Warehouse Team 1,Team,ORGANIZATIONAL-UNIT-LOG,DEPARTMENT-013,BUSINESS-UNIT-003,LOC-HUB,Active
ORGANIZATIONAL-UNIT-LOG-TEAM-02,Logistics & Warehouse Team 2,Team,ORGANIZATIONAL-UNIT-LOG,DEPARTMENT-013,BUSINESS-UNIT-003,LOC-HUB,Active
ORGANIZATIONAL-UNIT-LOG-TEAM-03,Logistics & Warehouse Team 3,Team,ORGANIZATIONAL-UNIT-LOG,DEPARTMENT-013,BUSINESS-UNIT-003,LOC-HUB,Active
ORGANIZATIONAL-UNIT-PRD,Production & Manufacturing,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-005,DEPARTMENT-014,BUSINESS-UNIT-005,LOC-PLANT,Active
ORGANIZATIONAL-UNIT-PRD-TEAM-01,Production & Manufacturing Team 1,Team,ORGANIZATIONAL-UNIT-PRD,DEPARTMENT-014,BUSINESS-UNIT-005,LOC-PLANT,Active
ORGANIZATIONAL-UNIT-PRD-TEAM-02,Production & Manufacturing Team 2,Team,ORGANIZATIONAL-UNIT-PRD,DEPARTMENT-014,BUSINESS-UNIT-005,LOC-PLANT,Active
ORGANIZATIONAL-UNIT-PRD-TEAM-03,Production & Manufacturing Team 3,Team,ORGANIZATIONAL-UNIT-PRD,DEPARTMENT-014,BUSINESS-UNIT-005,LOC-PLANT,Active
ORGANIZATIONAL-UNIT-QAS,Quality Assurance,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-005,DEPARTMENT-015,BUSINESS-UNIT-005,LOC-PLANT,Active
ORGANIZATIONAL-UNIT-QAS-TEAM-01,Quality Assurance Team 1,Team,ORGANIZATIONAL-UNIT-QAS,DEPARTMENT-015,BUSINESS-UNIT-005,LOC-PLANT,Active
ORGANIZATIONAL-UNIT-QAS-TEAM-02,Quality Assurance Team 2,Team,ORGANIZATIONAL-UNIT-QAS,DEPARTMENT-015,BUSINESS-UNIT-005,LOC-PLANT,Active
ORGANIZATIONAL-UNIT-QAS-TEAM-03,Quality Assurance Team 3,Team,ORGANIZATIONAL-UNIT-QAS,DEPARTMENT-015,BUSINESS-UNIT-005,LOC-PLANT,Active
ORGANIZATIONAL-UNIT-RND,Research & Development,Department,ORGANIZATIONAL-UNIT-BUSINESS-UNIT-007,DEPARTMENT-016,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-RND-TEAM-01,Research & Development Team 1,Team,ORGANIZATIONAL-UNIT-RND,DEPARTMENT-016,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-RND-TEAM-02,Research & Development Team 2,Team,ORGANIZATIONAL-UNIT-RND,DEPARTMENT-016,BUSINESS-UNIT-007,LOC-HQ,Active
ORGANIZATIONAL-UNIT-RND-TEAM-03,Research & Development Team 3,Team,ORGANIZATIONAL-UNIT-RND,DEPARTMENT-016,BUSINESS-UNIT-007,LOC-HQ,Active
