Driver_Record_ID,Snapshot_Month,Department_ID,Department_Name,Demand_Driver_Name,Demand_Driver_Value,Measurement_Unit,Baseline_Driver_Value,Demand_Growth_Percentage,Expected_Staffing_Need,Demand_to_Approved_Headcount_Gap,Data_Pattern_Description,Data_As_Of_Date
DEMAND-FIN-202508,2025-08-01,DEPARTMENT-002,Finance,Financial Transactions Processed,950.4,Transactions,900,5.6,50,3,Seasonal and trend-adjusted demand aligned to department operations,2025-08-28
DEMAND-FIN-202509,2025-09-01,DEPARTMENT-002,Finance,Financial Transactions Processed,996.3,Transactions,900,10.7,52,5,Seasonal and trend-adjusted demand aligned to department operations,2025-09-28
DEMAND-FIN-202510,2025-10-01,DEPARTMENT-002,Finance,Financial Transactions Processed,992.9,Transactions,900,10.32,52,5,Seasonal and trend-adjusted demand aligned to department operations,2025-10-28
DEMAND-FIN-202511,2025-11-01,DEPARTMENT-002,Finance,Financial Transactions Processed,964.7,Transactions,900,7.19,50,3,Seasonal and trend-adjusted demand aligned to department operations,2025-11-28
DEMAND-FIN-202512,2025-12-01,DEPARTMENT-002,Finance,Financial Transactions Processed,1105.2,Transactions,900,22.8,58,11,Seasonal and trend-adjusted demand aligned to department operations,2025-12-28
DEMAND-FIN-202601,2026-01-01,DEPARTMENT-002,Finance,Financial Transactions Processed,1036.8,Transactions,900,15.2,55,7,Seasonal and trend-adjusted demand aligned to department operations,2026-01-28
DEMAND-FIN-202602,2026-02-01,DEPARTMENT-002,Finance,Financial Transactions Processed,1003.2,Transactions,900,11.47,54,6,Seasonal and trend-adjusted demand aligned to department operations,2026-02-28
DEMAND-FIN-202603,2026-03-01,DEPARTMENT-002,Finance,Financial Transactions Processed,993.3,Transactions,900,10.37,53,5,Seasonal and trend-adjusted demand aligned to department operations,2026-03-28
DEMAND-FIN-202604,2026-04-01,DEPARTMENT-002,Finance,Financial Transactions Processed,1027.0,Transactions,900,14.11,55,7,Seasonal and trend-adjusted demand aligned to department operations,2026-04-28
DEMAND-FIN-202605,2026-05-01,DEPARTMENT-002,Finance,Financial Transactions Processed,1070.9,Transactions,900,18.99,57,9,Seasonal and trend-adjusted demand aligned to department operations,2026-05-28
DEMAND-FIN-202606,2026-06-01,DEPARTMENT-002,Finance,Financial Transactions Processed,1121.0,Transactions,900,24.56,60,12,Seasonal and trend-adjusted demand aligned to department operations,2026-06-28
DEMAND-FIN-202607,2026-07-01,DEPARTMENT-002,Finance,Financial Transactions Processed,1052.8,Transactions,900,16.98,56,8,Seasonal and trend-adjusted demand aligned to department operations,2026-07-28
DEMAND-FIN-202608,2026-08-01,DEPARTMENT-002,Finance,Financial Transactions Processed,1036.4,Transactions,900,15.16,55,7,Seasonal and trend-adjusted demand aligned to department operations,2026-08-28
DEMAND-SAL-202409,2024-09-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,182.6,Millions of PKR,180,1.44,51,1,Seasonal and trend-adjusted demand aligned to department operations,2024-09-28
DEMAND-SAL-202410,2024-10-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,175.8,Millions of PKR,180,-2.33,49,-1,Seasonal and trend-adjusted demand aligned to department operations,2024-10-28
DEMAND-SAL-202411,2024-11-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,199.2,Millions of PKR,180,10.67,55,5,Seasonal and trend-adjusted demand aligned to department operations,2024-11-28
DEMAND-SAL-202412,2024-12-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,214.4,Millions of PKR,180,19.11,60,10,Seasonal and trend-adjusted demand aligned to department operations,2024-12-28
DEMAND-SAL-202501,2025-01-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,186.6,Millions of PKR,180,3.67,53,2,Seasonal and trend-adjusted demand aligned to department operations,2025-01-28
DEMAND-SAL-202502,2025-02-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,172.3,Millions of PKR,180,-4.28,49,-2,Seasonal and trend-adjusted demand aligned to department operations,2025-02-28
DEMAND-SAL-202503,2025-03-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,180.3,Millions of PKR,180,0.17,51,0,Seasonal and trend-adjusted demand aligned to department operations,2025-03-28
DEMAND-SAL-202504,2025-04-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,185.1,Millions of PKR,180,2.83,52,1,Seasonal and trend-adjusted demand aligned to department operations,2025-04-28
DEMAND-SAL-202505,2025-05-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,197.4,Millions of PKR,180,9.67,56,5,Seasonal and trend-adjusted demand aligned to department operations,2025-05-28
DEMAND-SAL-202506,2025-06-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,191.0,Millions of PKR,180,6.11,54,3,Seasonal and trend-adjusted demand aligned to department operations,2025-06-28
DEMAND-SAL-202507,2025-07-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,196.3,Millions of PKR,180,9.06,56,5,Seasonal and trend-adjusted demand aligned to department operations,2025-07-28
DEMAND-SAL-202508,2025-08-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,193.0,Millions of PKR,180,7.22,55,4,Seasonal and trend-adjusted demand aligned to department operations,2025-08-28
DEMAND-SAL-202509,2025-09-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,202.3,Millions of PKR,180,12.39,57,6,Seasonal and trend-adjusted demand aligned to department operations,2025-09-28
DEMAND-SAL-202510,2025-10-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,191.2,Millions of PKR,180,6.22,54,3,Seasonal and trend-adjusted demand aligned to department operations,2025-10-28
DEMAND-SAL-202511,2025-11-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,218.8,Millions of PKR,180,21.56,62,11,Seasonal and trend-adjusted demand aligned to department operations,2025-11-28
DEMAND-SAL-202512,2025-12-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,219.2,Millions of PKR,180,21.78,62,11,Seasonal and trend-adjusted demand aligned to department operations,2025-12-28
DEMAND-SAL-202601,2026-01-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,194.8,Millions of PKR,180,8.22,56,4,Seasonal and trend-adjusted demand aligned to department operations,2026-01-28
DEMAND-SAL-202602,2026-02-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,191.3,Millions of PKR,180,6.28,55,3,Seasonal and trend-adjusted demand aligned to department operations,2026-02-28
DEMAND-SAL-202603,2026-03-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,197.9,Millions of PKR,180,9.94,57,5,Seasonal and trend-adjusted demand aligned to department operations,2026-03-28
DEMAND-SAL-202604,2026-04-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,204.2,Millions of PKR,180,13.44,59,7,Seasonal and trend-adjusted demand aligned to department operations,2026-04-28
DEMAND-SAL-202605,2026-05-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,203.7,Millions of PKR,180,13.17,59,7,Seasonal and trend-adjusted demand aligned to department operations,2026-05-28
DEMAND-SAL-202606,2026-06-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,202.0,Millions of PKR,180,12.22,58,6,Seasonal and trend-adjusted demand aligned to department operations,2026-06-28
DEMAND-SAL-202607,2026-07-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,208.9,Millions of PKR,180,16.06,60,8,Seasonal and trend-adjusted demand aligned to department operations,2026-07-28
DEMAND-SAL-202608,2026-08-01,DEPARTMENT-003,Sales,Sales Pipeline Volume,204.8,Millions of PKR,180,13.78,59,7,Seasonal and trend-adjusted demand aligned to department operations,2026-08-28
DEMAND-CS-202409,2024-09-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2811.8,Tickets,2800,0.42,48,0,Seasonal and trend-adjusted demand aligned to department operations,2024-09-28
DEMAND-CS-202410,2024-10-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2913.5,Tickets,2800,4.05,50,2,Seasonal and trend-adjusted demand aligned to department operations,2024-10-28
DEMAND-CS-202411,2024-11-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3093.7,Tickets,2800,10.49,53,5,Seasonal and trend-adjusted demand aligned to department operations,2024-11-28
DEMAND-CS-202412,2024-12-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3296.7,Tickets,2800,17.74,57,9,Seasonal and trend-adjusted demand aligned to department operations,2024-12-28
DEMAND-CS-202501,2025-01-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2966.5,Tickets,2800,5.95,52,3,Seasonal and trend-adjusted demand aligned to department operations,2025-01-28
DEMAND-CS-202502,2025-02-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2671.1,Tickets,2800,-4.6,47,-2,Seasonal and trend-adjusted demand aligned to department operations,2025-02-28
DEMAND-CS-202503,2025-03-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2670.6,Tickets,2800,-4.62,47,-2,Seasonal and trend-adjusted demand aligned to department operations,2025-03-28
DEMAND-CS-202504,2025-04-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2974.0,Tickets,2800,6.21,52,3,Seasonal and trend-adjusted demand aligned to department operations,2025-04-28
DEMAND-CS-202505,2025-05-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2894.2,Tickets,2800,3.36,51,2,Seasonal and trend-adjusted demand aligned to department operations,2025-05-28
DEMAND-CS-202506,2025-06-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3022.3,Tickets,2800,7.94,53,4,Seasonal and trend-adjusted demand aligned to department operations,2025-06-28
DEMAND-CS-202507,2025-07-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2955.0,Tickets,2800,5.54,52,3,Seasonal and trend-adjusted demand aligned to department operations,2025-07-28
DEMAND-CS-202508,2025-08-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2923.2,Tickets,2800,4.4,51,2,Seasonal and trend-adjusted demand aligned to department operations,2025-08-28
DEMAND-CS-202509,2025-09-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3143.2,Tickets,2800,12.26,55,6,Seasonal and trend-adjusted demand aligned to department operations,2025-09-28
DEMAND-CS-202510,2025-10-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3189.7,Tickets,2800,13.92,56,7,Seasonal and trend-adjusted demand aligned to department operations,2025-10-28
DEMAND-CS-202511,2025-11-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3457.8,Tickets,2800,23.49,61,12,Seasonal and trend-adjusted demand aligned to department operations,2025-11-28
DEMAND-CS-202512,2025-12-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3410.0,Tickets,2800,21.79,60,11,Seasonal and trend-adjusted demand aligned to department operations,2025-12-28
DEMAND-CS-202601,2026-01-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3150.4,Tickets,2800,12.51,56,6,Seasonal and trend-adjusted demand aligned to department operations,2026-01-28
DEMAND-CS-202602,2026-02-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2863.1,Tickets,2800,2.25,51,1,Seasonal and trend-adjusted demand aligned to department operations,2026-02-28
DEMAND-CS-202603,2026-03-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,2937.2,Tickets,2800,4.9,52,2,Seasonal and trend-adjusted demand aligned to department operations,2026-03-28
DEMAND-CS-202604,2026-04-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3315.2,Tickets,2800,18.4,59,9,Seasonal and trend-adjusted demand aligned to department operations,2026-04-28
DEMAND-CS-202605,2026-05-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3133.1,Tickets,2800,11.9,56,6,Seasonal and trend-adjusted demand aligned to department operations,2026-05-28
DEMAND-CS-202606,2026-06-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3138.9,Tickets,2800,12.1,56,6,Seasonal and trend-adjusted demand aligned to department operations,2026-06-28
DEMAND-CS-202607,2026-07-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3222.5,Tickets,2800,15.09,58,8,Seasonal and trend-adjusted demand aligned to department operations,2026-07-28
DEMAND-CS-202608,2026-08-01,DEPARTMENT-004,Customer Support,Customer Support Tickets,3323.1,Tickets,2800,18.68,59,9,Seasonal and trend-adjusted demand aligned to department operations,2026-08-28
DEMAND-ENG-202409,2024-09-01,DEPARTMENT-005,Engineering,Active Technology Projects,22,Projects,22,0.0,50,0,Seasonal and trend-adjusted demand aligned to department operations,2024-09-28
DEMAND-ENG-202410,2024-10-01,DEPARTMENT-005,Engineering,Active Technology Projects,22,Projects,22,0.0,50,0,Seasonal and trend-adjusted demand aligned to department operations,2024-10-28
DEMAND-ENG-202411,2024-11-01,DEPARTMENT-005,Engineering,Active Technology Projects,22,Projects,22,0.0,50,0,Seasonal and trend-adjusted demand aligned to department operations,2024-11-28
DEMAND-ENG-202412,2024-12-01,DEPARTMENT-005,Engineering,Active Technology Projects,22,Projects,22,0.0,50,0,Seasonal and trend-adjusted demand aligned to department operations,2024-12-28
DEMAND-ENG-202501,2025-01-01,DEPARTMENT-005,Engineering,Active Technology Projects,23,Projects,22,4.55,54,2,Seasonal and trend-adjusted demand aligned to department operations,2025-01-28
DEMAND-ENG-202502,2025-02-01,DEPARTMENT-005,Engineering,Active Technology Projects,23,Projects,22,4.55,54,2,Seasonal and trend-adjusted demand aligned to department operations,2025-02-28
DEMAND-ENG-202503,2025-03-01,DEPARTMENT-005,Engineering,Active Technology Projects,22,Projects,22,0.0,52,0,Seasonal and trend-adjusted demand aligned to department operations,2025-03-28
DEMAND-ENG-202504,2025-04-01,DEPARTMENT-005,Engineering,Active Technology Projects,23,Projects,22,4.55,54,2,Seasonal and trend-adjusted demand aligned to department operations,2025-04-28
DEMAND-ENG-202505,2025-05-01,DEPARTMENT-005,Engineering,Active Technology Projects,24,Projects,22,9.09,57,5,Seasonal and trend-adjusted demand aligned to department operations,2025-05-28
DEMAND-ENG-202506,2025-06-01,DEPARTMENT-005,Engineering,Active Technology Projects,23,Projects,22,4.55,54,2,Seasonal and trend-adjusted demand aligned to department operations,2025-06-28
DEMAND-ENG-202507,2025-07-01,DEPARTMENT-005,Engineering,Active Technology Projects,23,Projects,22,4.55,54,2,Seasonal and trend-adjusted demand aligned to department operations,2025-07-28
DEMAND-ENG-202508,2025-08-01,DEPARTMENT-005,Engineering,Active Technology Projects,25,Projects,22,13.64,59,7,Seasonal and trend-adjusted demand aligned to department operations,2025-08-28
DEMAND-ENG-202509,2025-09-01,DEPARTMENT-005,Engineering,Active Technology Projects,23,Projects,22,4.55,54,2,Seasonal and trend-adjusted demand aligned to department operations,2025-09-28
DEMAND-ENG-202510,2025-10-01,DEPARTMENT-005,Engineering,Active Technology Projects,25,Projects,22,13.64,59,7,Seasonal and trend-adjusted demand aligned to department operations,2025-10-28
DEMAND-ENG-202511,2025-11-01,DEPARTMENT-005,Engineering,Active Technology Projects,23,Projects,22,4.55,54,2,Seasonal and trend-adjusted demand aligned to department operations,2025-11-28
DEMAND-ENG-202512,2025-12-01,DEPARTMENT-005,Engineering,Active Technology Projects,24,Projects,22,9.09,57,5,Seasonal and trend-adjusted demand aligned to department operations,2025-12-28
DEMAND-ENG-202601,2026-01-01,DEPARTMENT-005,Engineering,Active Technology Projects,25,Projects,22,13.64,61,7,Seasonal and trend-adjusted demand aligned to department operations,2026-01-28
DEMAND-ENG-202602,2026-02-01,DEPARTMENT-005,Engineering,Active Technology Projects,25,Projects,22,13.64,61,7,Seasonal and trend-adjusted demand aligned to department operations,2026-02-28
DEMAND-ENG-202603,2026-03-01,DEPARTMENT-005,Engineering,Active Technology Projects,24,Projects,22,9.09,59,5,Seasonal and trend-adjusted demand aligned to department operations,2026-03-28
DEMAND-ENG-202604,2026-04-01,DEPARTMENT-005,Engineering,Active Technology Projects,26,Projects,22,18.18,64,10,Seasonal and trend-adjusted demand aligned to department operations,2026-04-28
DEMAND-ENG-202605,2026-05-01,DEPARTMENT-005,Engineering,Active Technology Projects,25,Projects,22,13.64,61,7,Seasonal and trend-adjusted demand aligned to department operations,2026-05-28
DEMAND-ENG-202606,2026-06-01,DEPARTMENT-005,Engineering,Active Technology Projects,26,Projects,22,18.18,64,10,Seasonal and trend-adjusted demand aligned to department operations,2026-06-28
DEMAND-ENG-202607,2026-07-01,DEPARTMENT-005,Engineering,Active Technology Projects,26,Projects,22,18.18,64,10,Seasonal and trend-adjusted demand aligned to department operations,2026-07-28
DEMAND-ENG-202608,2026-08-01,DEPARTMENT-005,Engineering,Active Technology Projects,25,Projects,22,13.64,61,7,Seasonal and trend-adjusted demand aligned to department operations,2026-08-28
DEMAND-OPS-202409,2024-09-01,DEPARTMENT-006,Operations,Operational Work Orders,1217.2,Work Orders,1200,1.43,49,1,Seasonal and trend-adjusted demand aligned to department operations,2024-09-28
DEMAND-OPS-202410,2024-10-01,DEPARTMENT-006,Operations,Operational Work Orders,1161.1,Work Orders,1200,-3.24,46,-2,Seasonal and trend-adjusted demand aligned to department operations,2024-10-28
DEMAND-OPS-202411,2024-11-01,DEPARTMENT-006,Operations,Operational Work Orders,1206.9,Work Orders,1200,0.58,48,0,Seasonal and trend-adjusted demand aligned to department operations,2024-11-28
DEMAND-OPS-202412,2024-12-01,DEPARTMENT-006,Operations,Operational Work Orders,1192.0,Work Orders,1200,-0.67,48,0,Seasonal and trend-adjusted demand aligned to department operations,2024-12-28
DEMAND-OPS-202501,2025-01-01,DEPARTMENT-006,Operations,Operational Work Orders,1220.7,Work Orders,1200,1.72,50,1,Seasonal and trend-adjusted demand aligned to department operations,2025-01-28
DEMAND-OPS-202502,2025-02-01,DEPARTMENT-006,Operations,Operational Work Orders,1237.2,Work Orders,1200,3.1,51,2,Seasonal and trend-adjusted demand aligned to department operations,2025-02-28
DEMAND-OPS-202503,2025-03-01,DEPARTMENT-006,Operations,Operational Work Orders,1258.3,Work Orders,1200,4.86,51,2,Seasonal and trend-adjusted demand aligned to department operations,2025-03-28
DEMAND-OPS-202504,2025-04-01,DEPARTMENT-006,Operations,Operational Work Orders,1245.1,Work Orders,1200,3.76,51,2,Seasonal and trend-adjusted demand aligned to department operations,2025-04-28
DEMAND-OPS-202505,2025-05-01,DEPARTMENT-006,Operations,Operational Work Orders,1232.2,Work Orders,1200,2.68,50,1,Seasonal and trend-adjusted demand aligned to department operations,2025-05-28
DEMAND-OPS-202506,2025-06-01,DEPARTMENT-006,Operations,Operational Work Orders,1305.6,Work Orders,1200,8.8,53,4,Seasonal and trend-adjusted demand aligned to department operations,2025-06-28
DEMAND-OPS-202507,2025-07-01,DEPARTMENT-006,Operations,Operational Work Orders,1281.2,Work Orders,1200,6.77,52,3,Seasonal and trend-adjusted demand aligned to department operations,2025-07-28
DEMAND-OPS-202508,2025-08-01,DEPARTMENT-006,Operations,Operational Work Orders,1314.7,Work Orders,1200,9.56,54,5,Seasonal and trend-adjusted demand aligned to department operations,2025-08-28
DEMAND-OPS-202509,2025-09-01,DEPARTMENT-006,Operations,Operational Work Orders,1290.7,Work Orders,1200,7.56,53,4,Seasonal and trend-adjusted demand aligned to department operations,2025-09-28
DEMAND-OPS-202510,2025-10-01,DEPARTMENT-006,Operations,Operational Work Orders,1331.6,Work Orders,1200,10.97,54,5,Seasonal and trend-adjusted demand aligned to department operations,2025-10-28
DEMAND-OPS-202511,2025-11-01,DEPARTMENT-006,Operations,Operational Work Orders,1329.2,Work Orders,1200,10.77,54,5,Seasonal and trend-adjusted demand aligned to department operations,2025-11-28
DEMAND-OPS-202512,2025-12-01,DEPARTMENT-006,Operations,Operational Work Orders,1320.7,Work Orders,1200,10.06,54,5,Seasonal and trend-adjusted demand aligned to department operations,2025-12-28
DEMAND-OPS-202601,2026-01-01,DEPARTMENT-006,Operations,Operational Work Orders,1374.8,Work Orders,1200,14.57,58,7,Seasonal and trend-adjusted demand aligned to department operations,2026-01-28
DEMAND-OPS-202602,2026-02-01,DEPARTMENT-006,Operations,Operational Work Orders,1340.0,Work Orders,1200,11.67,57,6,Seasonal and trend-adjusted demand aligned to department operations,2026-02-28
DEMAND-OPS-202603,2026-03-01,DEPARTMENT-006,Operations,Operational Work Orders,1327.1,Work Orders,1200,10.59,56,5,Seasonal and trend-adjusted demand aligned to department operations,2026-03-28
DEMAND-OPS-202604,2026-04-01,DEPARTMENT-006,Operations,Operational Work Orders,1369.7,Work Orders,1200,14.14,58,7,Seasonal and trend-adjusted demand aligned to department operations,2026-04-28
DEMAND-OPS-202605,2026-05-01,DEPARTMENT-006,Operations,Operational Work Orders,1360.3,Work Orders,1200,13.36,58,7,Seasonal and trend-adjusted demand aligned to department operations,2026-05-28
DEMAND-OPS-202606,2026-06-01,DEPARTMENT-006,Operations,Operational Work Orders,1445.4,Work Orders,1200,20.45,61,10,Seasonal and trend-adjusted demand aligned to department operations,2026-06-28
DEMAND-OPS-202607,2026-07-01,DEPARTMENT-006,Operations,Operational Work Orders,1426.8,Work Orders,1200,18.9,61,10,Seasonal and trend-adjusted demand aligned to department operations,2026-07-28
DEMAND-OPS-202608,2026-08-01,DEPARTMENT-006,Operations,Operational Work Orders,1420.9,Work Orders,1200,18.41,60,9,Seasonal and trend-adjusted demand aligned to department operations,2026-08-28
