Course_ID,Course_Name,Skill_ID,Skill_Name,Skill_Category,Skill_Type,Course_Level,Recommended_From_Proficiency_Level,Target_Proficiency_Level,Estimated_Duration_Hours,Delivery_Mode,Provider_Type,Assessment_Method,Certificate_Available,Professional_Growth_Outcome,Active_Status,Catalog_Mode,Data_As_Of_Date
COURSE-S014-FND,Negotiation Essentials,S014,Negotiation,Behavioral,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Negotiation for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S014-PRC,Negotiation in Practice,S014,Negotiation,Behavioral,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Negotiation for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S014-ADV,Advanced Negotiation for Professional Growth,S014,Negotiation,Behavioral,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Negotiation for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S015-FND,CRM Management Fundamentals,S015,CRM Management,Digital,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen CRM Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S015-PRC,Applied CRM Management,S015,CRM Management,Digital,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen CRM Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S015-ADV,Advanced CRM Management and Decision Practice,S015,CRM Management,Digital,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen CRM Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S016-FND,Account Management Fundamentals,S016,Account Management,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Account Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S016-PRC,Applied Account Management,S016,Account Management,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Account Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S016-ADV,Advanced Account Management and Decision Practice,S016,Account Management,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Account Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S017-FND,Pipeline Management Fundamentals,S017,Pipeline Management,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Pipeline Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S017-PRC,Applied Pipeline Management,S017,Pipeline Management,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Pipeline Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S017-ADV,Advanced Pipeline Management and Decision Practice,S017,Pipeline Management,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Pipeline Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S018-FND,Product Knowledge Fundamentals,S018,Product Knowledge,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Product Knowledge for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S018-PRC,Applied Product Knowledge,S018,Product Knowledge,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Product Knowledge for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S018-ADV,Advanced Product Knowledge and Decision Practice,S018,Product Knowledge,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Product Knowledge for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S019-FND,Process Management Fundamentals,S019,Process Management,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Process Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S019-PRC,Applied Process Management,S019,Process Management,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Process Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S019-ADV,Advanced Process Management and Decision Practice,S019,Process Management,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Process Management for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S020-FND,SOP Compliance Fundamentals,S020,SOP Compliance,Compliance,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen SOP Compliance for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S020-PRC,Applied SOP Compliance,S020,SOP Compliance,Compliance,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen SOP Compliance for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S020-ADV,Advanced SOP Compliance and Decision Practice,S020,SOP Compliance,Compliance,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen SOP Compliance for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S021-FND,Process Improvement Fundamentals,S021,Process Improvement,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Process Improvement for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S021-PRC,Applied Process Improvement,S021,Process Improvement,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Process Improvement for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S021-ADV,Advanced Process Improvement and Decision Practice,S021,Process Improvement,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Process Improvement for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S022-FND,Quality Control Fundamentals,S022,Quality Control,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Quality Control for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S022-PRC,Applied Quality Control,S022,Quality Control,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Quality Control for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S022-ADV,Advanced Quality Control and Decision Practice,S022,Quality Control,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Quality Control for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S023-FND,Risk & Controls Fundamentals,S023,Risk & Controls,Compliance,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Risk & Controls for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S023-PRC,Applied Risk & Controls,S023,Risk & Controls,Compliance,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Risk & Controls for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S023-ADV,Advanced Risk & Controls and Decision Practice,S023,Risk & Controls,Compliance,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Risk & Controls for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S024-FND,Workflow Coordination Fundamentals,S024,Workflow Coordination,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Workflow Coordination for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S024-PRC,Applied Workflow Coordination,S024,Workflow Coordination,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Workflow Coordination for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S024-ADV,Advanced Workflow Coordination and Decision Practice,S024,Workflow Coordination,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Workflow Coordination for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S025-FND,Financial Analysis Fundamentals,S025,Financial Analysis,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Financial Analysis for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S025-PRC,Applied Financial Analysis,S025,Financial Analysis,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Financial Analysis for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S025-ADV,Advanced Financial Analysis and Decision Practice,S025,Financial Analysis,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Financial Analysis for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S026-FND,Accounting & Reconciliation Fundamentals,S026,Accounting & Reconciliation,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Accounting & Reconciliation for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S026-PRC,Applied Accounting & Reconciliation,S026,Accounting & Reconciliation,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Accounting & Reconciliation for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S026-ADV,Advanced Accounting & Reconciliation and Decision Practice,S026,Accounting & Reconciliation,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Accounting & Reconciliation for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S027-FND,Budgeting & Forecasting Fundamentals,S027,Budgeting & Forecasting,Functional,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Budgeting & Forecasting for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S027-PRC,Applied Budgeting & Forecasting,S027,Budgeting & Forecasting,Functional,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Budgeting & Forecasting for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S027-ADV,Advanced Budgeting & Forecasting and Decision Practice,S027,Budgeting & Forecasting,Functional,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Budgeting & Forecasting for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S028-FND,Regulatory Reporting Fundamentals,S028,Regulatory Reporting,Compliance,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Regulatory Reporting for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S028-PRC,Applied Regulatory Reporting,S028,Regulatory Reporting,Compliance,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Regulatory Reporting for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S028-ADV,Advanced Regulatory Reporting and Decision Practice,S028,Regulatory Reporting,Compliance,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Regulatory Reporting for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S029-FND,Advanced Excel Fundamentals,S029,Advanced Excel,Digital,Core,Foundation,0,2,6,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Advanced Excel for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S029-PRC,Applied Advanced Excel,S029,Advanced Excel,Digital,Core,Practitioner,2,3,10,Virtual / Workshop,Internal Academy / Approved External Provider,Knowledge check + practical exercise,Yes,Strengthen Advanced Excel for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
COURSE-S029-ADV,Advanced Advanced Excel and Decision Practice,S029,Advanced Excel,Digital,Core,Advanced,3,5,16,Virtual / Workshop,Internal Academy / Approved External Provider,Practical assessment + manager validation,Yes,Strengthen Advanced Excel for better current-role performance and readiness for higher-responsibility work.,Active,DEMO_COURSE_CATALOG,2026-08-01
