Snapshot_Month,Organization_ID,Department_ID,Department_Name,Business_Unit,Approved_Position_Count,Budgeted_Position_Count,Actual_Employee_Count,Actual_Full_Time_Equivalent,Approved_Full_Time_Equivalent,Budgeted_Full_Time_Equivalent,Vacant_Approved_Position_Count,Funded_Vacant_Position_Count,Overstaffed_Employee_Count,Employees_Joining_During_Month,Employees_Leaving_During_Month,Employees_Transferred_In,Employees_Transferred_Out,Employees_Promoted,Monthly_Salary_Cost,Monthly_Benefits_Cost,Approved_Monthly_People_Budget,Budget_Variance_Amount,Budget_Utilization_Percentage,Vacancy_Rate_Percentage,Data_As_Of_Date
2026-08-01,ORGANIZATION-001,DEPARTMENT-003,Sales,Commercial Services,52,50,45,43.9,50.7,48.8,7,5,0,1,0,1,1,0,6496000,1299200,9022222,1227022,86.4,13.46,2026-08-01
2024-09-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,48,48,40,38.6,46.8,46.8,8,8,0,2,1,0,1,0,4053333,810666,6080000,1216001,80.0,16.67,2024-09-28
2024-10-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,48,48,41,39.7,46.8,46.8,7,7,0,3,3,2,1,3,4154666,830933,6080000,1094401,82.0,14.58,2024-10-28
2024-11-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,48,48,42,40.8,46.8,46.8,6,6,0,0,1,2,0,1,4256000,851200,6080000,972800,84.0,12.5,2024-11-28
2024-12-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,48,48,45,43.8,46.8,46.8,3,3,0,2,0,1,0,0,4560000,912000,6080000,608000,90.0,6.25,2024-12-28
2025-01-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,42,40.9,47.8,46.8,7,6,0,0,2,2,3,0,4596480,919296,6566400,1050624,84.0,14.29,2025-01-28
2025-02-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,41,40.0,47.8,46.8,8,7,0,1,1,0,1,1,4487040,897408,6566400,1181952,82.0,16.33,2025-02-28
2025-03-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,40,39.0,47.8,46.8,9,8,0,0,2,1,0,3,4377600,875520,6566400,1313280,80.0,18.37,2025-03-28
2025-04-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,42,40.8,47.8,46.8,7,6,0,5,3,0,0,3,4596480,919296,6566400,1050624,84.0,14.29,2025-04-28
2025-05-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,41,39.8,47.8,46.8,8,7,0,2,3,0,0,2,4487040,897408,6566400,1181952,82.0,16.33,2025-05-28
2025-06-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,44,42.5,47.8,46.8,5,4,0,5,2,1,1,1,4815360,963072,6566400,787968,88.0,10.2,2025-06-28
2025-07-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,42,40.4,47.8,46.8,7,6,0,0,3,1,0,1,4596480,919296,6566400,1050624,84.0,14.29,2025-07-28
2025-08-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,43,41.3,47.8,46.8,6,5,0,1,1,1,0,1,4705920,941184,6566400,919296,86.0,12.24,2025-08-28
2025-09-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,43,41.2,47.8,46.8,6,5,0,1,0,0,1,1,4705920,941184,6566400,919296,86.0,12.24,2025-09-28
2025-10-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,44,42.1,47.8,46.8,5,4,0,1,0,0,0,0,4815360,963072,6566400,787968,88.0,10.2,2025-10-28
2025-11-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,44,42.0,47.8,46.8,5,4,0,2,2,0,0,0,4815360,963072,6566400,787968,88.0,10.2,2025-11-28
2025-12-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,49,48,46,43.9,47.8,46.8,3,2,0,3,0,0,1,0,5034240,1006848,6566400,525312,92.0,6.12,2025-12-28
2026-01-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,50,49,44,42.1,48.8,47.8,6,5,0,1,3,1,1,3,5172053,1034410,7199733,993270,86.2,12.0,2026-01-28
2026-02-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,50,49,44,42.2,48.8,47.8,6,5,0,6,3,0,3,0,5172053,1034410,7199733,993270,86.2,12.0,2026-02-28
2026-03-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,50,49,42,40.4,48.8,47.8,8,7,0,0,2,0,0,3,4936960,987392,7199733,1275381,82.29,16.0,2026-03-28
2026-04-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,50,49,44,42.5,48.8,47.8,6,5,0,4,1,0,1,3,5172053,1034410,7199733,993270,86.2,12.0,2026-04-28
2026-05-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,50,49,44,42.6,48.8,47.8,6,5,0,3,3,0,0,3,5172053,1034410,7199733,993270,86.2,12.0,2026-05-28
2026-06-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,50,49,45,43.7,48.8,47.8,5,4,0,1,0,0,0,3,5289600,1057920,7199733,852213,88.16,10.0,2026-06-28
2026-07-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,50,49,45,43.8,48.8,47.8,5,4,0,1,1,0,0,1,5289600,1057920,7199733,852213,88.16,10.0,2026-07-28
2026-08-01,ORGANIZATION-001,DEPARTMENT-004,Customer Support,Commercial Services,50,49,45,43.9,48.8,47.8,5,4,0,1,1,0,0,0,5289600,1057920,7199733,852213,88.16,10.0,2026-08-01
2024-09-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,50,49,38,36.7,48.8,47.8,12,11,0,2,2,0,0,0,6003155,1200631,9676138,2472352,74.45,24.0,2024-09-28
2024-10-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,50,49,36,34.9,48.8,47.8,14,13,0,0,2,0,0,0,5687200,1137440,9676138,2851498,70.53,28.0,2024-10-28
2024-11-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,50,49,38,36.9,48.8,47.8,12,11,0,3,2,1,0,3,6003155,1200631,9676138,2472352,74.45,24.0,2024-11-28
2024-12-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,50,49,38,37.0,48.8,47.8,12,11,0,0,0,0,0,2,6003155,1200631,9676138,2472352,74.45,24.0,2024-12-28
2025-01-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,38,37.0,50.7,48.8,14,12,0,0,1,1,0,2,6483408,1296681,10663500,2883411,72.96,26.92,2025-01-28
2025-02-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,39,38.0,50.7,48.8,13,11,0,3,1,0,1,2,6654024,1330804,10663500,2678672,74.88,25.0,2025-02-28
2025-03-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,40,39.0,50.7,48.8,12,10,0,1,0,0,0,3,6824640,1364928,10663500,2473932,76.8,23.08,2025-03-28
2025-04-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,40,38.9,50.7,48.8,12,10,0,1,1,1,1,3,6824640,1364928,10663500,2473932,76.8,23.08,2025-04-28
2025-05-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,40,38.8,50.7,48.8,12,10,0,2,2,0,0,2,6824640,1364928,10663500,2473932,76.8,23.08,2025-05-28
2025-06-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,39,37.7,50.7,48.8,13,11,0,0,1,0,0,1,6654024,1330804,10663500,2678672,74.88,25.0,2025-06-28
2025-07-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,40,38.5,50.7,48.8,12,10,0,0,0,1,0,2,6824640,1364928,10663500,2473932,76.8,23.08,2025-07-28
2025-08-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,42,40.3,50.7,48.8,10,8,0,5,3,1,1,1,7165872,1433174,10663500,2064454,80.64,19.23,2025-08-28
2025-09-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,41,39.3,50.7,48.8,11,9,0,2,3,1,1,1,6995256,1399051,10663500,2269193,78.72,21.15,2025-09-28
2025-10-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,41,39.2,50.7,48.8,11,9,0,2,3,1,0,3,6995256,1399051,10663500,2269193,78.72,21.15,2025-10-28
2025-11-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,43,41.1,50.7,48.8,9,7,0,2,1,1,0,2,7336488,1467297,10663500,1859715,82.56,17.31,2025-11-28
2025-12-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,52,50,42,40.1,50.7,48.8,10,8,0,0,2,1,0,3,7165872,1433174,10663500,2064454,80.64,19.23,2025-12-28
2026-01-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,54,51,44,42.1,52.6,49.7,10,7,0,2,0,0,0,1,8063185,1612637,11682456,2006634,82.82,18.52,2026-01-28
2026-02-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,54,51,43,41.2,52.6,49.7,11,8,0,0,1,0,0,2,7879931,1575986,11682456,2226539,80.94,20.37,2026-02-28
2026-03-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,54,51,44,42.3,52.6,49.7,10,7,0,2,1,0,0,1,8063185,1612637,11682456,2006634,82.82,18.52,2026-03-28
2026-04-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,54,51,43,41.5,52.6,49.7,11,8,0,2,3,0,0,3,7879931,1575986,11682456,2226539,80.94,20.37,2026-04-28
2026-05-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,54,51,44,42.6,52.6,49.7,10,7,0,1,0,1,1,2,8063185,1612637,11682456,2006634,82.82,18.52,2026-05-28
2026-06-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,54,51,44,42.7,52.6,49.7,10,7,0,3,3,0,0,3,8063185,1612637,11682456,2006634,82.82,18.52,2026-06-28
2026-07-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,54,51,45,43.8,52.6,49.7,9,6,0,2,2,1,0,3,8246439,1649287,11682456,1786730,84.71,16.67,2026-07-28
2026-08-01,ORGANIZATION-001,DEPARTMENT-005,Engineering,Technology and Innovation,54,51,45,43.9,52.6,49.7,9,6,0,2,3,1,0,0,8246439,1649287,11682456,1786730,84.71,16.67,2026-08-01
2024-09-01,ORGANIZATION-001,DEPARTMENT-006,Operations,Enterprise Operations,48,47,38,36.7,46.8,45.8,10,9,0,0,2,2,0,0,4446000,889200,6873750,1538550,77.62,20.83,2024-09-28
2024-10-01,ORGANIZATION-001,DEPARTMENT-006,Operations,Enterprise Operations,48,47,39,37.8,46.8,45.8,9,8,0,1,0,0,0,3,4563000,912600,6873750,1398150,79.66,18.75,2024-10-28
2024-11-01,ORGANIZATION-001,DEPARTMENT-006,Operations,Enterprise Operations,48,47,40,38.8,46.8,45.8,8,7,0,3,1,1,2,2,4680000,936000,6873750,1257750,81.7,16.67,2024-11-28
2024-12-01,ORGANIZATION-001,DEPARTMENT-006,Operations,Enterprise Operations,48,47,40,38.9,46.8,45.8,8,7,0,1,1,0,0,0,4680000,936000,6873750,1257750,81.7,16.67,2024-12-28
2025-01-01,ORGANIZATION-001,DEPARTMENT-006,Operations,Enterprise Operations,49,48,40,39.0,47.8,46.8,9,8,0,3,2,0,1,2,5054400,1010880,7581600,1516320,80.0,18.37,2025-01-28
2025-02-01,ORGANIZATION-001,DEPARTMENT-006,Operations,Enterprise Operations,49,48,41,40.0,47.8,46.8,8,7,0,0,0,1,0,0,5180760,1036152,7581600,1364688,82.0,16.33,2025-02-28
