Department_Budget_Record_ID,Budget_Month,Department_ID,Department_Name,Cost_Center_ID,Budgeted_Position_Count,Approved_Salary_and_Benefits_Budget,Recruitment_Budget,Training_and_Development_Budget,Overtime_Budget,Workforce_Contingency_Budget,Total_Approved_People_Budget,Actual_Salary_Cost,Actual_Benefits_Cost,Actual_Recruitment_Cost,Actual_Training_Cost,Actual_Overtime_Cost,Total_Actual_People_Cost,Remaining_People_Budget,Budget_Utilization_Percentage,Budget_Status,Budget_Currency,Data_As_Of_Date
DEPARTMENT-BUDGET-0017,2026-01-01,DEPARTMENT-001,HR,COST-CENTER-HR,44,9011395,0,44000,155368,270341,9481104,7209116,1441823,0,39436,157980,8848355,632749,93.33,Watch,PKR,2026-01-28
DEPARTMENT-BUDGET-0018,2026-02-01,DEPARTMENT-001,HR,COST-CENTER-HR,44,9011395,0,44000,155368,270341,9481104,7209116,1441823,0,39328,183520,8873787,607317,93.59,Watch,PKR,2026-02-28
DEPARTMENT-BUDGET-0019,2026-03-01,DEPARTMENT-001,HR,COST-CENTER-HR,44,9011395,0,45000,158900,270341,9485636,7372959,1474591,0,38088,137180,9022818,462818,95.12,Watch,PKR,2026-03-28
DEPARTMENT-BUDGET-0020,2026-04-01,DEPARTMENT-001,HR,COST-CENTER-HR,44,9011395,0,46000,162431,270341,9490167,7536803,1507360,0,40887,173624,9258674,231493,97.56,Watch,PKR,2026-04-28
DEPARTMENT-BUDGET-0021,2026-05-01,DEPARTMENT-001,HR,COST-CENTER-HR,44,9011395,0,46000,162431,270341,9490167,7536803,1507360,0,36664,171877,9252704,237463,97.5,Watch,PKR,2026-05-28
DEPARTMENT-BUDGET-0022,2026-06-01,DEPARTMENT-001,HR,COST-CENTER-HR,44,9011395,0,45000,158900,270341,9485636,7372959,1474591,0,28163,154231,9029944,455692,95.2,Watch,PKR,2026-06-28
DEPARTMENT-BUDGET-0023,2026-07-01,DEPARTMENT-001,HR,COST-CENTER-HR,44,9011395,0,45000,158900,270341,9485636,7372959,1474591,0,32698,119282,8999530,486106,94.88,Watch,PKR,2026-07-28
DEPARTMENT-BUDGET-0024,2026-08-01,DEPARTMENT-001,HR,COST-CENTER-HR,44,9011395,0,45000,158900,270341,9485636,7372959,1474591,0,39285,182249,9069084,416552,95.61,Watch,PKR,2026-08-01
DEPARTMENT-BUDGET-0025,2024-09-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,9303500,38832,43000,173935,279105,9838372,6957400,1391480,25789,30806,160798,8566273,1272099,87.07,Within Budget,PKR,2024-09-28
DEPARTMENT-BUDGET-0026,2024-10-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,9303500,64720,41000,165845,279105,9854170,6633800,1326760,34457,32912,197252,8225181,1628989,83.47,Within Budget,PKR,2024-10-28
DEPARTMENT-BUDGET-0027,2024-11-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,9303500,51776,42000,169890,279105,9846271,6795600,1359120,16583,26510,199893,8397706,1448565,85.29,Within Budget,PKR,2024-11-28
DEPARTMENT-BUDGET-0028,2024-12-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,9303500,51776,42000,169890,279105,9846271,6795600,1359120,29383,32009,176382,8392494,1453777,85.24,Within Budget,PKR,2024-12-28
DEPARTMENT-BUDGET-0029,2025-01-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,38832,43000,173935,301433,10604980,7513992,1502798,12364,37546,144871,9211571,1393409,86.86,Within Budget,PKR,2025-01-28
DEPARTMENT-BUDGET-0030,2025-02-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,38832,43000,173935,301433,10604980,7513992,1502798,23226,30051,154542,9224609,1380371,86.98,Within Budget,PKR,2025-02-28
DEPARTMENT-BUDGET-0031,2025-03-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,38832,43000,173935,301433,10604980,7513992,1502798,34130,36539,131851,9219310,1385670,86.93,Within Budget,PKR,2025-03-28
DEPARTMENT-BUDGET-0032,2025-04-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,38832,43000,173935,301433,10604980,7513992,1502798,30037,40799,192048,9279674,1325306,87.5,Within Budget,PKR,2025-04-28
DEPARTMENT-BUDGET-0033,2025-05-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,38832,43000,173935,301433,10604980,7513992,1502798,16557,39527,182552,9255426,1349554,87.27,Within Budget,PKR,2025-05-28
DEPARTMENT-BUDGET-0034,2025-06-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,25888,44000,177980,301433,10597081,7688736,1537747,18049,29836,171057,9445425,1151656,89.13,Within Budget,PKR,2025-06-28
DEPARTMENT-BUDGET-0035,2025-07-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,38832,43000,173935,301433,10604980,7513992,1502798,25804,27954,174056,9244604,1360376,87.17,Within Budget,PKR,2025-07-28
DEPARTMENT-BUDGET-0036,2025-08-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,51776,42000,169890,301433,10612879,7339248,1467849,28857,41437,178551,9055942,1556937,85.33,Within Budget,PKR,2025-08-28
DEPARTMENT-BUDGET-0037,2025-09-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,25888,44000,177980,301433,10597081,7688736,1537747,21069,27659,185450,9460661,1136420,89.28,Within Budget,PKR,2025-09-28
DEPARTMENT-BUDGET-0038,2025-10-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,25888,44000,177980,301433,10597081,7688736,1537747,9467,42624,151635,9430209,1166872,88.99,Within Budget,PKR,2025-10-28
DEPARTMENT-BUDGET-0039,2025-11-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,25888,44000,177980,301433,10597081,7688736,1537747,13437,30864,169499,9440283,1156798,89.08,Within Budget,PKR,2025-11-28
DEPARTMENT-BUDGET-0040,2025-12-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,46,10047780,12944,45000,182025,301433,10589182,7863480,1572696,11031,41138,149020,9637365,951817,91.01,Within Budget,PKR,2025-12-28
DEPARTMENT-BUDGET-0041,2026-01-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,47,11026670,25888,45000,182025,330800,11610383,8445960,1689192,8603,33234,140506,10317495,1292888,88.86,Within Budget,PKR,2026-01-28
DEPARTMENT-BUDGET-0042,2026-02-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,47,11026670,38832,44000,177980,330800,11618282,8258271,1651654,21473,33700,160877,10125975,1492307,87.16,Within Budget,PKR,2026-02-28
DEPARTMENT-BUDGET-0043,2026-03-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,47,11026670,25888,45000,182025,330800,11610383,8445960,1689192,9021,37798,169683,10351654,1258729,89.16,Within Budget,PKR,2026-03-28
DEPARTMENT-BUDGET-0044,2026-04-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,47,11026670,25888,45000,182025,330800,11610383,8445960,1689192,19654,40700,169680,10365186,1245197,89.28,Within Budget,PKR,2026-04-28
DEPARTMENT-BUDGET-0045,2026-05-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,47,11026670,25888,45000,182025,330800,11610383,8445960,1689192,21102,34985,158107,10349346,1261037,89.14,Within Budget,PKR,2026-05-28
DEPARTMENT-BUDGET-0046,2026-06-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,47,11026670,25888,45000,182025,330800,11610383,8445960,1689192,14308,42136,183845,10375441,1234942,89.36,Within Budget,PKR,2026-06-28
DEPARTMENT-BUDGET-0047,2026-07-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,47,11026670,12944,46000,186070,330800,11602484,8633648,1726729,11348,30618,152340,10554683,1047801,90.97,Within Budget,PKR,2026-07-28
DEPARTMENT-BUDGET-0048,2026-08-01,DEPARTMENT-002,Finance,COST-CENTER-FIN,47,11026670,25888,45000,182025,330800,11610383,8445960,1689192,15929,36911,196355,10384347,1226036,89.44,Within Budget,PKR,2026-08-01
DEPARTMENT-BUDGET-0049,2024-09-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,7622222,99555,39000,121333,228666,8110776,4853333,970666,49505,28274,121874,6023652,2087124,74.27,Within Budget,PKR,2024-09-28
DEPARTMENT-BUDGET-0050,2024-10-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,7622222,89600,40000,124444,228666,8104932,4977777,995555,33370,34047,111284,6152033,1952899,75.9,Within Budget,PKR,2024-10-28
DEPARTMENT-BUDGET-0051,2024-11-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,7622222,69688,42000,130666,228666,8093242,5226666,1045333,48755,41849,125706,6488309,1604933,80.17,Within Budget,PKR,2024-11-28
DEPARTMENT-BUDGET-0052,2024-12-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,7622222,59733,43000,133777,228666,8087398,5351111,1070222,37744,29652,120743,6609472,1477926,81.73,Within Budget,PKR,2024-12-28
DEPARTMENT-BUDGET-0053,2025-01-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,89600,40000,124444,246960,8733004,5376000,1075200,32983,33408,120425,6638016,2094988,76.01,Within Budget,PKR,2025-01-28
DEPARTMENT-BUDGET-0054,2025-02-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,89600,40000,124444,246960,8733004,5376000,1075200,32970,27864,138329,6650363,2082641,76.15,Within Budget,PKR,2025-02-28
DEPARTMENT-BUDGET-0055,2025-03-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,89600,40000,124444,246960,8733004,5376000,1075200,33226,34919,120358,6639703,2093301,76.03,Within Budget,PKR,2025-03-28
DEPARTMENT-BUDGET-0056,2025-04-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,79644,41000,127555,246960,8727159,5510400,1102080,35677,37468,126909,6812534,1914625,78.06,Within Budget,PKR,2025-04-28
DEPARTMENT-BUDGET-0057,2025-05-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,69688,42000,130666,246960,8721314,5644800,1128960,62570,32914,116853,6986097,1735217,80.1,Within Budget,PKR,2025-05-28
DEPARTMENT-BUDGET-0058,2025-06-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,69688,42000,130666,246960,8721314,5644800,1128960,31647,40701,156430,7002538,1718776,80.29,Within Budget,PKR,2025-06-28
DEPARTMENT-BUDGET-0059,2025-07-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,69688,42000,130666,246960,8721314,5644800,1128960,24414,28070,99862,6926106,1795208,79.42,Within Budget,PKR,2025-07-28
DEPARTMENT-BUDGET-0060,2025-08-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,69688,42000,130666,246960,8721314,5644800,1128960,62551,34854,133280,7004445,1716869,80.31,Within Budget,PKR,2025-08-28
DEPARTMENT-BUDGET-0061,2025-09-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,69688,42000,130666,246960,8721314,5644800,1128960,32551,36100,146015,6988426,1732888,80.13,Within Budget,PKR,2025-09-28
DEPARTMENT-BUDGET-0062,2025-10-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,59733,43000,133777,246960,8715470,5779200,1155840,28347,40777,156857,7161021,1554449,82.16,Within Budget,PKR,2025-10-28
DEPARTMENT-BUDGET-0063,2025-11-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,49777,44000,136888,246960,8709625,5913600,1182720,28112,30124,122446,7277002,1432623,83.55,Within Budget,PKR,2025-11-28
DEPARTMENT-BUDGET-0064,2025-12-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,49,8232000,39822,45000,140000,246960,8703782,6048000,1209600,21739,40743,162335,7482417,1221365,85.97,Within Budget,PKR,2025-12-28
DEPARTMENT-BUDGET-0065,2026-01-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,50,9022222,79644,42000,130666,270666,9545198,6062933,1212586,24227,33250,133052,7466048,2079150,78.22,Within Budget,PKR,2026-01-28
DEPARTMENT-BUDGET-0066,2026-02-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,50,9022222,79644,42000,130666,270666,9545198,6062933,1212586,64738,35653,113829,7489739,2055459,78.47,Within Budget,PKR,2026-02-28
DEPARTMENT-BUDGET-0067,2026-03-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,50,9022222,69688,43000,133777,270666,9539353,6207288,1241457,21374,38779,121905,7630803,1908550,79.99,Within Budget,PKR,2026-03-28
DEPARTMENT-BUDGET-0068,2026-04-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,50,9022222,49777,45000,140000,270666,9527665,6496000,1299200,22210,40946,163833,8022189,1505476,84.2,Within Budget,PKR,2026-04-28
DEPARTMENT-BUDGET-0069,2026-05-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,50,9022222,59733,44000,136888,270666,9533509,6351644,1270328,34047,35151,143041,7834211,1699298,82.18,Within Budget,PKR,2026-05-28
DEPARTMENT-BUDGET-0070,2026-06-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,50,9022222,49777,45000,140000,270666,9527665,6496000,1299200,37590,32288,124693,7989771,1537894,83.86,Within Budget,PKR,2026-06-28
DEPARTMENT-BUDGET-0071,2026-07-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,50,9022222,59733,44000,136888,270666,9533509,6351644,1270328,52573,38739,107871,7821155,1712354,82.04,Within Budget,PKR,2026-07-28
DEPARTMENT-BUDGET-0072,2026-08-01,DEPARTMENT-003,Sales,COST-CENTER-SAL,50,9022222,49777,45000,140000,270666,9527665,6496000,1299200,25056,30535,134738,7985529,1542136,83.81,Within Budget,PKR,2026-08-01
DEPARTMENT-BUDGET-0073,2024-09-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6080000,64853,40000,101333,182400,6468586,4053333,810666,47392,35579,97484,5044454,1424132,77.98,Within Budget,PKR,2024-09-28
DEPARTMENT-BUDGET-0074,2024-10-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6080000,56746,41000,103866,182400,6464012,4154666,830933,40002,39251,85383,5150235,1313777,79.68,Within Budget,PKR,2024-10-28
DEPARTMENT-BUDGET-0075,2024-11-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6080000,48640,42000,106400,182400,6459440,4256000,851200,20181,34159,112941,5274481,1184959,81.66,Within Budget,PKR,2024-11-28
DEPARTMENT-BUDGET-0076,2024-12-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6080000,24320,45000,114000,182400,6445720,4560000,912000,20320,42882,128114,5663316,782404,87.86,Within Budget,PKR,2024-12-28
DEPARTMENT-BUDGET-0077,2025-01-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,48640,42000,106400,196992,6960432,4596480,919296,22237,33066,102460,5673539,1286893,81.51,Within Budget,PKR,2025-01-28
DEPARTMENT-BUDGET-0078,2025-02-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,56746,41000,103866,196992,6965004,4487040,897408,33158,26101,87676,5531383,1433621,79.42,Within Budget,PKR,2025-02-28
DEPARTMENT-BUDGET-0079,2025-03-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,64853,40000,101333,196992,6969578,4377600,875520,54386,25909,99991,5433406,1536172,77.96,Within Budget,PKR,2025-03-28
DEPARTMENT-BUDGET-0080,2025-04-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,48640,42000,106400,196992,6960432,4596480,919296,29871,33202,84168,5663017,1297415,81.36,Within Budget,PKR,2025-04-28
DEPARTMENT-BUDGET-0081,2025-05-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,56746,41000,103866,196992,6965004,4487040,897408,45313,39831,101414,5571006,1393998,79.99,Within Budget,PKR,2025-05-28
DEPARTMENT-BUDGET-0082,2025-06-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,32426,44000,111466,196992,6951284,4815360,963072,15418,28599,110628,5933077,1018207,85.35,Within Budget,PKR,2025-06-28
DEPARTMENT-BUDGET-0083,2025-07-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,48640,42000,106400,196992,6960432,4596480,919296,39083,28262,86228,5669349,1291083,81.45,Within Budget,PKR,2025-07-28
DEPARTMENT-BUDGET-0084,2025-08-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,40533,43000,108933,196992,6955858,4705920,941184,19462,31929,98658,5797153,1158705,83.34,Within Budget,PKR,2025-08-28
DEPARTMENT-BUDGET-0085,2025-09-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,40533,43000,108933,196992,6955858,4705920,941184,15907,37696,81809,5782516,1173342,83.13,Within Budget,PKR,2025-09-28
DEPARTMENT-BUDGET-0086,2025-10-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,32426,44000,111466,196992,6951284,4815360,963072,27792,35052,127987,5969263,982021,85.87,Within Budget,PKR,2025-10-28
DEPARTMENT-BUDGET-0087,2025-11-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,32426,44000,111466,196992,6951284,4815360,963072,15568,30400,86499,5910899,1040385,85.03,Within Budget,PKR,2025-11-28
DEPARTMENT-BUDGET-0088,2025-12-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,48,6566400,16213,46000,116533,196992,6942138,5034240,1006848,13396,41351,130839,6226674,715464,89.69,Within Budget,PKR,2025-12-28
DEPARTMENT-BUDGET-0089,2026-01-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,49,7199733,40533,44000,111466,215991,7611723,5172053,1034410,15190,39529,99965,6361147,1250576,83.57,Within Budget,PKR,2026-01-28
DEPARTMENT-BUDGET-0090,2026-02-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,49,7199733,40533,44000,111466,215991,7611723,5172053,1034410,18825,43698,108954,6377940,1233783,83.79,Within Budget,PKR,2026-02-28
DEPARTMENT-BUDGET-0091,2026-03-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,49,7199733,56746,42000,106400,215991,7620870,4936960,987392,34876,27622,84620,6071470,1549400,79.67,Within Budget,PKR,2026-03-28
DEPARTMENT-BUDGET-0092,2026-04-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,49,7199733,40533,44000,111466,215991,7611723,5172053,1034410,32190,33103,125821,6397577,1214146,84.05,Within Budget,PKR,2026-04-28
DEPARTMENT-BUDGET-0093,2026-05-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,49,7199733,40533,44000,111466,215991,7611723,5172053,1034410,14205,35239,95407,6351314,1260409,83.44,Within Budget,PKR,2026-05-28
DEPARTMENT-BUDGET-0094,2026-06-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,49,7199733,32426,45000,114000,215991,7607150,5289600,1057920,22760,36137,86483,6492900,1114250,85.35,Within Budget,PKR,2026-06-28
DEPARTMENT-BUDGET-0095,2026-07-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,49,7199733,32426,45000,114000,215991,7607150,5289600,1057920,18674,28922,95916,6491032,1116118,85.33,Within Budget,PKR,2026-07-28
DEPARTMENT-BUDGET-0096,2026-08-01,DEPARTMENT-004,Customer Support,COST-CENTER-CS,49,7199733,32426,45000,114000,215991,7607150,5289600,1057920,20766,27215,134265,6529766,1077384,85.84,Within Budget,PKR,2026-08-01
DEPARTMENT-BUDGET-0097,2024-09-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,49,9676138,139020,38000,150078,290284,10293520,6003155,1200631,93003,35597,152775,7485161,2808359,72.72,Within Budget,PKR,2024-09-28
DEPARTMENT-BUDGET-0098,2024-10-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,49,9676138,164296,36000,142180,290284,10308898,5687200,1137440,78663,34579,144348,7082230,3226668,68.7,Within Budget,PKR,2024-10-28
DEPARTMENT-BUDGET-0099,2024-11-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,49,9676138,139020,38000,150078,290284,10293520,6003155,1200631,89161,24986,174051,7491984,2801536,72.78,Within Budget,PKR,2024-11-28
DEPARTMENT-BUDGET-0100,2024-12-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,49,9676138,139020,38000,150078,290284,10293520,6003155,1200631,87218,28092,179911,7499007,2794513,72.85,Within Budget,PKR,2024-12-28
DEPARTMENT-BUDGET-0101,2025-01-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,151658,38000,150078,319905,11323141,6483408,1296681,136037,34044,166907,8117077,3206064,71.69,Within Budget,PKR,2025-01-28
DEPARTMENT-BUDGET-0102,2025-02-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,139020,39000,154028,319905,11315453,6654024,1330804,78311,37925,174338,8275402,3040051,73.13,Within Budget,PKR,2025-02-28
DEPARTMENT-BUDGET-0103,2025-03-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,126382,40000,157977,319905,11307764,6824640,1364928,41769,34661,176560,8442558,2865206,74.66,Within Budget,PKR,2025-03-28
DEPARTMENT-BUDGET-0104,2025-04-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,126382,40000,157977,319905,11307764,6824640,1364928,44384,26845,141814,8402611,2905153,74.31,Within Budget,PKR,2025-04-28
DEPARTMENT-BUDGET-0105,2025-05-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,126382,40000,157977,319905,11307764,6824640,1364928,111564,32414,159311,8492857,2814907,75.11,Within Budget,PKR,2025-05-28
DEPARTMENT-BUDGET-0106,2025-06-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,139020,39000,154028,319905,11315453,6654024,1330804,74178,31302,136776,8227084,3088369,72.71,Within Budget,PKR,2025-06-28
DEPARTMENT-BUDGET-0107,2025-07-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,126382,40000,157977,319905,11307764,6824640,1364928,39676,34323,119982,8383549,2924215,74.14,Within Budget,PKR,2025-07-28
DEPARTMENT-BUDGET-0108,2025-08-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,101105,42000,165876,319905,11292386,7165872,1433174,88023,26260,160817,8874146,2418240,78.59,Within Budget,PKR,2025-08-28
DEPARTMENT-BUDGET-0109,2025-09-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,113744,41000,161927,319905,11300076,6995256,1399051,50242,38698,175043,8658290,2641786,76.62,Within Budget,PKR,2025-09-28
DEPARTMENT-BUDGET-0110,2025-10-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,113744,41000,161927,319905,11300076,6995256,1399051,75837,34885,167894,8672923,2627153,76.75,Within Budget,PKR,2025-10-28
DEPARTMENT-BUDGET-0111,2025-11-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,88467,43000,169826,319905,11284698,7336488,1467297,35485,34124,150874,9024268,2260430,79.97,Within Budget,PKR,2025-11-28
DEPARTMENT-BUDGET-0112,2025-12-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,50,10663500,101105,42000,165876,319905,11292386,7165872,1433174,84128,34431,184741,8902346,2390040,78.83,Within Budget,PKR,2025-12-28
DEPARTMENT-BUDGET-0113,2026-01-01,DEPARTMENT-005,Engineering,COST-CENTER-ENG,51,11682456,88467,44000,173775,350473,12339171,8063185,1612637,29458,31651,196053,9932984,2406187,80.5,Within Budget,PKR,2026-01-28
