Activity_Date,Department_ID,Department_Name,Actual_Employee_Count,Employees_Available_for_Work,Employees_on_Approved_Leave,Employees_Absent,Total_Overtime_Hours,Open_Position_Count,Critical_Open_Position_Count,Workforce_Availability_Percentage,Data_Refresh_Timestamp,Data_Quality_Status
2026-05-07,DEPARTMENT-011,Legal & Compliance,45,45,0,0,10,0,0,100.0,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-012,Procurement & Supply Chain,45,42,2,1,8,3,1,93.33,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-013,Logistics & Warehouse,45,41,1,3,15,8,2,91.11,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-014,Production & Manufacturing,45,43,2,0,14,11,11,95.56,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-015,Quality Assurance,45,40,3,2,9,5,1,88.89,2026-05-07T18:00:00+05:00,Validated
2026-05-07,DEPARTMENT-016,Research & Development,45,40,3,2,0,7,2,88.89,2026-05-07T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-001,HR,45,42,1,2,10,0,0,93.33,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-002,Finance,45,43,1,1,9,3,1,95.56,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-003,Sales,45,40,2,3,9,7,2,88.89,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-004,Customer Support,45,40,1,4,0,5,1,88.89,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-005,Engineering,45,44,1,0,9,9,3,97.78,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-006,Operations,45,40,1,4,4,6,2,88.89,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-007,IT,45,41,3,1,4,4,1,91.11,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-008,Medical Care,45,41,2,2,19,10,10,91.11,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-009,Training & Development,45,43,2,0,4,2,0,95.56,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-010,Administration & Facilities,45,44,0,1,1,0,0,97.78,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-011,Legal & Compliance,45,44,0,1,0,0,0,97.78,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-012,Procurement & Supply Chain,45,42,1,2,5,3,1,93.33,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-013,Logistics & Warehouse,45,42,0,3,17,8,2,93.33,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-014,Production & Manufacturing,45,40,0,5,21,11,11,88.89,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-015,Quality Assurance,45,41,1,3,13,5,1,91.11,2026-05-08T18:00:00+05:00,Validated
2026-05-08,DEPARTMENT-016,Research & Development,45,40,3,2,5,7,2,88.89,2026-05-08T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-001,HR,45,40,2,3,11,0,0,88.89,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-002,Finance,45,40,0,5,5,3,1,88.89,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-003,Sales,45,37,3,5,8,7,2,82.22,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-004,Customer Support,45,35,3,7,5,5,1,77.78,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-005,Engineering,45,40,0,5,12,9,3,88.89,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-006,Operations,45,37,2,6,0,6,2,82.22,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-007,IT,45,37,1,7,4,4,1,82.22,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-008,Medical Care,45,38,0,7,13,10,10,84.44,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-009,Training & Development,45,38,2,5,4,2,0,84.44,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-010,Administration & Facilities,45,41,1,3,15,0,0,91.11,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-011,Legal & Compliance,45,39,2,4,7,0,0,86.67,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-012,Procurement & Supply Chain,45,39,2,4,2,3,1,86.67,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-013,Logistics & Warehouse,45,36,1,8,21,8,2,80.0,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-014,Production & Manufacturing,45,34,3,8,16,11,11,75.56,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-015,Quality Assurance,45,42,1,2,6,5,1,93.33,2026-05-09T18:00:00+05:00,Validated
2026-05-09,DEPARTMENT-016,Research & Development,45,37,2,6,5,7,2,82.22,2026-05-09T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-001,HR,45,41,0,4,7,0,0,91.11,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-002,Finance,45,39,1,5,5,3,1,86.67,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-003,Sales,45,41,0,4,7,7,2,91.11,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-004,Customer Support,45,41,0,4,12,5,1,91.11,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-005,Engineering,45,39,2,4,13,9,3,86.67,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-006,Operations,45,39,1,5,15,6,2,86.67,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-007,IT,45,41,1,3,4,4,1,91.11,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-008,Medical Care,45,39,2,4,16,10,10,86.67,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-009,Training & Development,45,40,3,2,8,2,0,88.89,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-010,Administration & Facilities,45,42,0,3,1,0,0,93.33,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-011,Legal & Compliance,45,39,2,4,11,0,0,86.67,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-012,Procurement & Supply Chain,45,37,2,6,9,3,1,82.22,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-013,Logistics & Warehouse,45,34,2,9,13,8,2,75.56,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-014,Production & Manufacturing,45,41,0,4,17,11,11,91.11,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-015,Quality Assurance,45,41,1,3,9,5,1,91.11,2026-05-10T18:00:00+05:00,Validated
2026-05-10,DEPARTMENT-016,Research & Development,45,38,2,5,3,7,2,84.44,2026-05-10T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-001,HR,45,43,1,1,3,0,0,95.56,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-002,Finance,45,45,0,0,8,3,1,100.0,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-003,Sales,45,41,2,2,6,7,2,91.11,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-004,Customer Support,45,42,2,1,8,5,1,93.33,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-005,Engineering,45,43,2,0,5,9,3,95.56,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-006,Operations,45,43,2,0,6,6,2,95.56,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-007,IT,45,45,0,0,11,4,1,100.0,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-008,Medical Care,45,45,0,0,11,10,10,100.0,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-009,Training & Development,45,40,1,4,2,2,0,88.89,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-010,Administration & Facilities,45,43,2,0,11,0,0,95.56,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-011,Legal & Compliance,45,43,2,0,7,0,0,95.56,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-012,Procurement & Supply Chain,45,39,4,2,9,3,1,86.67,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-013,Logistics & Warehouse,45,42,1,2,16,8,2,93.33,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-014,Production & Manufacturing,45,44,1,0,12,11,11,97.78,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-015,Quality Assurance,45,37,3,5,13,5,1,82.22,2026-05-11T18:00:00+05:00,Validated
2026-05-11,DEPARTMENT-016,Research & Development,45,42,1,2,8,7,2,93.33,2026-05-11T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-001,HR,45,43,2,0,3,0,0,95.56,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-002,Finance,45,42,1,2,11,3,1,93.33,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-003,Sales,45,40,2,3,9,7,2,88.89,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-004,Customer Support,45,44,1,0,10,5,1,97.78,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-005,Engineering,45,41,0,4,7,9,3,91.11,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-006,Operations,45,43,2,0,0,6,2,95.56,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-007,IT,45,41,3,1,2,4,1,91.11,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-008,Medical Care,45,38,1,6,15,10,10,84.44,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-009,Training & Development,45,43,2,0,11,2,0,95.56,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-010,Administration & Facilities,45,42,1,2,0,0,0,93.33,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-011,Legal & Compliance,45,43,2,0,11,0,0,95.56,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-012,Procurement & Supply Chain,45,41,3,1,6,3,1,91.11,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-013,Logistics & Warehouse,45,41,2,2,18,8,2,91.11,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-014,Production & Manufacturing,45,39,3,3,16,11,11,86.67,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-015,Quality Assurance,45,41,2,2,2,5,1,91.11,2026-05-12T18:00:00+05:00,Validated
2026-05-12,DEPARTMENT-016,Research & Development,45,42,3,0,11,7,2,93.33,2026-05-12T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-001,HR,45,43,2,0,10,0,0,95.56,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-002,Finance,45,44,0,1,3,3,1,97.78,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-003,Sales,45,41,1,3,10,7,2,91.11,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-004,Customer Support,45,40,2,3,9,5,1,88.89,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-005,Engineering,45,42,2,1,3,9,3,93.33,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-006,Operations,45,41,2,2,3,6,2,91.11,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-007,IT,45,39,2,4,3,4,1,86.67,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-008,Medical Care,45,43,1,1,17,10,10,95.56,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-009,Training & Development,45,45,0,0,13,2,0,100.0,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-010,Administration & Facilities,45,41,3,1,5,0,0,91.11,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-011,Legal & Compliance,45,43,2,0,1,0,0,95.56,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-012,Procurement & Supply Chain,45,43,2,0,1,3,1,95.56,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-013,Logistics & Warehouse,45,41,0,4,11,8,2,91.11,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-014,Production & Manufacturing,45,40,1,4,13,11,11,88.89,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-015,Quality Assurance,45,41,2,2,10,5,1,91.11,2026-05-13T18:00:00+05:00,Validated
2026-05-13,DEPARTMENT-016,Research & Development,45,41,1,3,5,7,2,91.11,2026-05-13T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-001,HR,45,39,2,4,7,0,0,86.67,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-002,Finance,45,38,3,4,10,3,1,84.44,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-003,Sales,45,44,0,1,5,7,2,97.78,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-004,Customer Support,45,40,2,3,2,5,1,88.89,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-005,Engineering,45,42,1,2,6,9,3,93.33,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-006,Operations,45,45,0,0,7,6,2,100.0,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-007,IT,45,40,2,3,9,4,1,88.89,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-008,Medical Care,45,45,0,0,19,10,10,100.0,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-009,Training & Development,45,44,1,0,8,2,0,97.78,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-010,Administration & Facilities,45,41,2,2,8,0,0,91.11,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-011,Legal & Compliance,45,43,1,1,11,0,0,95.56,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-012,Procurement & Supply Chain,45,44,0,1,10,3,1,97.78,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-013,Logistics & Warehouse,45,42,0,3,9,8,2,93.33,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-014,Production & Manufacturing,45,43,2,0,15,11,11,95.56,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-015,Quality Assurance,45,43,2,0,9,5,1,95.56,2026-05-14T18:00:00+05:00,Validated
2026-05-14,DEPARTMENT-016,Research & Development,45,40,4,1,4,7,2,88.89,2026-05-14T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-001,HR,45,44,1,0,9,0,0,97.78,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-002,Finance,45,40,2,3,9,3,1,88.89,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-003,Sales,45,41,3,1,9,7,2,91.11,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-004,Customer Support,45,40,2,3,11,5,1,88.89,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-005,Engineering,45,41,3,1,7,9,3,91.11,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-006,Operations,45,40,3,2,8,6,2,88.89,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-007,IT,45,42,1,2,0,4,1,93.33,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-008,Medical Care,45,42,2,1,10,10,10,93.33,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-009,Training & Development,45,40,3,2,0,2,0,88.89,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-010,Administration & Facilities,45,38,4,3,8,0,0,84.44,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-011,Legal & Compliance,45,44,1,0,0,0,0,97.78,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-012,Procurement & Supply Chain,45,41,2,2,9,3,1,91.11,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-013,Logistics & Warehouse,45,41,1,3,17,8,2,91.11,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-014,Production & Manufacturing,45,42,0,3,12,11,11,93.33,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-015,Quality Assurance,45,42,2,1,5,5,1,93.33,2026-05-15T18:00:00+05:00,Validated
2026-05-15,DEPARTMENT-016,Research & Development,45,43,2,0,6,7,2,95.56,2026-05-15T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-001,HR,45,39,1,5,7,0,0,86.67,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-002,Finance,45,41,2,2,4,3,1,91.11,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-003,Sales,45,41,0,4,5,7,2,91.11,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-004,Customer Support,45,39,1,5,12,5,1,86.67,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-005,Engineering,45,38,2,5,2,9,3,84.44,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-006,Operations,45,40,2,3,6,6,2,88.89,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-007,IT,45,38,0,7,8,4,1,84.44,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-008,Medical Care,45,35,4,6,15,10,10,77.78,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-009,Training & Development,45,41,1,3,12,2,0,91.11,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-010,Administration & Facilities,45,37,2,6,7,0,0,82.22,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-011,Legal & Compliance,45,38,0,7,0,0,0,84.44,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-012,Procurement & Supply Chain,45,38,2,5,5,3,1,84.44,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-013,Logistics & Warehouse,45,39,0,6,13,8,2,86.67,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-014,Production & Manufacturing,45,40,0,5,14,11,11,88.89,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-015,Quality Assurance,45,38,2,5,5,5,1,84.44,2026-05-16T18:00:00+05:00,Validated
2026-05-16,DEPARTMENT-016,Research & Development,45,39,1,5,3,7,2,86.67,2026-05-16T18:00:00+05:00,Validated
2026-05-17,DEPARTMENT-001,HR,45,40,1,4,4,0,0,88.89,2026-05-17T18:00:00+05:00,Validated
2026-05-17,DEPARTMENT-002,Finance,45,40,1,4,9,3,1,88.89,2026-05-17T18:00:00+05:00,Validated
2026-05-17,DEPARTMENT-003,Sales,45,40,1,4,7,7,2,88.89,2026-05-17T18:00:00+05:00,Validated
2026-05-17,DEPARTMENT-004,Customer Support,45,36,2,7,7,5,1,80.0,2026-05-17T18:00:00+05:00,Validated
2026-05-17,DEPARTMENT-005,Engineering,45,37,1,7,1,9,3,82.22,2026-05-17T18:00:00+05:00,Validated
2026-05-17,DEPARTMENT-006,Operations,45,38,2,5,6,6,2,84.44,2026-05-17T18:00:00+05:00,Validated
2026-05-17,DEPARTMENT-007,IT,45,40,2,3,4,4,1,88.89,2026-05-17T18:00:00+05:00,Validated
2026-05-17,DEPARTMENT-008,Medical Care,45,41,2,2,9,10,10,91.11,2026-05-17T18:00:00+05:00,Validated
