KPI_ID,KPI_Name,Applicable_Department,Skill_ID,Skill_Name,Development_Relevance_Weight,Relationship_Type,Mapping_Basis,Data_As_Of_Date
KPI-ENG-002,Escaped Defects per Release,Engineering,S044,Problem Solving,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ENG-003,Production Change Success Rate,Engineering,S006,DevOps & CI/CD,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ENG-003,Production Change Success Rate,Engineering,S005,System Design,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-OPS-001,Operational Throughput Target Achievement,Operations,S019,Process Management,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-OPS-001,Operational Throughput Target Achievement,Operations,S024,Workflow Coordination,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-OPS-002,Process Accuracy,Operations,S020,SOP Compliance,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-OPS-002,Process Accuracy,Operations,S022,Quality Control,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-OPS-003,Operational SLA Compliance,Operations,S040,SLA Management,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-OPS-003,Operational SLA Compliance,Operations,S052,Time Management,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-IT-001,IT Service Delivery Target Achievement,IT,S010,IT Service Management,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-IT-001,IT Service Delivery Target Achievement,IT,S011,Incident Management,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-IT-002,System Availability and Change Success,IT,S011,Incident Management,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-IT-002,System Availability and Change Success,IT,S006,DevOps & CI/CD,0.35,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-IT-002,System Availability and Change Success,IT,S007,Cloud Platforms,0.20,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-IT-003,Incident Resolution within SLA,IT,S011,Incident Management,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-IT-003,Incident Resolution within SLA,IT,S040,SLA Management,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-MED-001,Planned Clinical Service Completion,Medical Care,S054,Clinical Assessment,0.50,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-MED-001,Planned Clinical Service Completion,Medical Care,S055,Patient Care,0.50,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-MED-002,Clinical Protocol and Documentation Compliance,Medical Care,S056,Clinical Documentation,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-MED-002,Clinical Protocol and Documentation Compliance,Medical Care,S020,SOP Compliance,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-MED-003,Patient Safety and Care Timeliness Score,Medical Care,S057,Medication Safety,0.35,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-MED-003,Patient Safety and Care Timeliness Score,Medical Care,S055,Patient Care,0.35,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-MED-003,Patient Safety and Care Timeliness Score,Medical Care,S060,Care Coordination,0.30,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-TRN-001,Training Delivery Target Achievement,Training & Development,S063,Facilitation,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-TRN-001,Training Delivery Target Achievement,Training & Development,S062,Curriculum Design,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-TRN-002,Learner Knowledge Improvement,Training & Development,S064,Learning Evaluation,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-TRN-002,Learner Knowledge Improvement,Training & Development,S062,Curriculum Design,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-TRN-003,Learner Satisfaction and Application Score,Training & Development,S063,Facilitation,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-TRN-003,Learner Satisfaction and Application Score,Training & Development,S064,Learning Evaluation,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ADM-001,Administration Service Target Achievement,Administration & Facilities,S066,Office Administration,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ADM-001,Administration Service Target Achievement,Administration & Facilities,S024,Workflow Coordination,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ADM-002,Facility and Maintenance Reliability,Administration & Facilities,S067,Facilities Management,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ADM-002,Facility and Maintenance Reliability,Administration & Facilities,S069,Asset Management,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ADM-003,Administrative Cost Variance,Administration & Facilities,S081,Cost Analysis,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-ADM-003,Administrative Cost Variance,Administration & Facilities,S068,Vendor Coordination,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LGL-001,Contract and Case Milestone Achievement,Legal & Compliance,S075,Case Management,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LGL-001,Contract and Case Milestone Achievement,Legal & Compliance,S071,Contract Review,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LGL-002,Regulatory and Policy Compliance Accuracy,Legal & Compliance,S072,Regulatory Compliance,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LGL-002,Regulatory and Policy Compliance Accuracy,Legal & Compliance,S073,Policy Interpretation,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LGL-003,Legal Advisory Turnaround Time,Legal & Compliance,S074,Legal Research,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LGL-003,Legal Advisory Turnaround Time,Legal & Compliance,S052,Time Management,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRC-001,Procurement Cycle Target Achievement,Procurement & Supply Chain,S076,Strategic Sourcing,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRC-001,Procurement Cycle Target Achievement,Procurement & Supply Chain,S077,Purchase Order Management,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRC-002,Verified Procurement Savings,Procurement & Supply Chain,S081,Cost Analysis,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRC-002,Verified Procurement Savings,Procurement & Supply Chain,S014,Negotiation,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRC-003,Supplier On-Time and Quality Score,Procurement & Supply Chain,S078,Supplier Management,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRC-003,Supplier On-Time and Quality Score,Procurement & Supply Chain,S079,Contract Negotiation,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LOG-001,On-Time Dispatch Target Achievement,Logistics & Warehouse,S086,Dispatch Coordination,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LOG-001,On-Time Dispatch Target Achievement,Logistics & Warehouse,S084,Transport Planning,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LOG-002,Inventory and Order Accuracy,Logistics & Warehouse,S083,Inventory Control,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LOG-002,Inventory and Order Accuracy,Logistics & Warehouse,S082,Warehouse Operations,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LOG-003,Damage and Loss Rate,Logistics & Warehouse,S082,Warehouse Operations,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-LOG-003,Damage and Loss Rate,Logistics & Warehouse,S087,Health and Safety,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRD-001,Production Target Achievement,Production & Manufacturing,S088,Production Planning,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRD-001,Production Target Achievement,Production & Manufacturing,S089,Machine Operation,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRD-002,First Pass Yield,Production & Manufacturing,S022,Quality Control,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRD-002,First Pass Yield,Production & Manufacturing,S091,Lean Manufacturing,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRD-003,Unplanned Downtime,Production & Manufacturing,S090,Preventive Maintenance,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-PRD-003,Unplanned Downtime,Production & Manufacturing,S089,Machine Operation,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-QAS-001,Test and Inspection Plan Achievement,Quality Assurance,S092,Quality Auditing,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-QAS-001,Test and Inspection Plan Achievement,Quality Assurance,S022,Quality Control,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-QAS-002,Escaped Defect Rate,Quality Assurance,S093,Root Cause Analysis,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-QAS-002,Escaped Defect Rate,Quality Assurance,S092,Quality Auditing,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-QAS-003,CAPA and Audit Closure within SLA,Quality Assurance,S094,Corrective Action Management,0.60,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-QAS-003,CAPA and Audit Closure within SLA,Quality Assurance,S093,Root Cause Analysis,0.40,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-RND-001,Research Milestone Target Achievement,Research & Development,S050,Project Management,0.50,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-RND-001,Research Milestone Target Achievement,Research & Development,S096,Research Methodology,0.50,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-RND-002,Experiment Validation Success,Research & Development,S097,Experimental Design,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-RND-002,Experiment Validation Success,Research & Development,S096,Research Methodology,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-RND-003,Innovation and Knowledge Transfer Completion,Research & Development,S099,Innovation Management,0.55,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
KPI-RND-003,Innovation and Knowledge Transfer Completion,Research & Development,S098,Technical Writing,0.45,KPI_IMPROVED_BY_SKILL,Business-rule mapping from measured KPI to the capability that can influence it,2026-08-01
