Scenario_Assumption_ID,Scenario_Name,Department_ID,Department_Name,Hiring_Plan_Adjustment_Percentage,Attrition_Rate_Adjustment_Percentage,People_Budget_Adjustment_Percentage,Business_Demand_Adjustment_Percentage,Planned_Transfer_In_Count,Planned_Transfer_Out_Count,Planned_Position_Freeze_Count,Scenario_Horizon_Months,Scenario_Description,Assumption_Source
SCENARIO-ASSUMPTION-0021,Growth Plan,DEPARTMENT-005,Engineering,8.0,-5.0,10.0,12.0,3,1,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0022,Growth Plan,DEPARTMENT-006,Operations,8.0,-5.0,10.0,12.0,0,0,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0023,Growth Plan,DEPARTMENT-007,IT,8.0,-5.0,10.0,12.0,0,0,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0024,Growth Plan,DEPARTMENT-008,Medical Care,8.0,-5.0,10.0,12.0,0,3,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0025,Growth Plan,DEPARTMENT-009,Training & Development,8.0,-5.0,10.0,12.0,1,3,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0026,Growth Plan,DEPARTMENT-010,Administration & Facilities,8.0,-5.0,10.0,12.0,0,0,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0027,Growth Plan,DEPARTMENT-011,Legal & Compliance,8.0,-5.0,10.0,12.0,2,0,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0028,Growth Plan,DEPARTMENT-012,Procurement & Supply Chain,8.0,-5.0,10.0,12.0,0,1,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0029,Growth Plan,DEPARTMENT-013,Logistics & Warehouse,8.0,-5.0,10.0,12.0,2,1,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0030,Growth Plan,DEPARTMENT-014,Production & Manufacturing,8.0,-5.0,10.0,12.0,3,0,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0031,Growth Plan,DEPARTMENT-015,Quality Assurance,8.0,-5.0,10.0,12.0,3,1,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0032,Growth Plan,DEPARTMENT-016,Research & Development,8.0,-5.0,10.0,12.0,2,3,0,12,Higher demand and selective hiring,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0033,Cost Control Plan,DEPARTMENT-001,HR,-4.0,8.0,-6.0,-8.0,1,3,2,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0034,Cost Control Plan,DEPARTMENT-002,Finance,-4.0,8.0,-6.0,-8.0,0,0,0,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0035,Cost Control Plan,DEPARTMENT-003,Sales,-4.0,8.0,-6.0,-8.0,1,1,1,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0036,Cost Control Plan,DEPARTMENT-004,Customer Support,-4.0,8.0,-6.0,-8.0,1,0,2,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0037,Cost Control Plan,DEPARTMENT-005,Engineering,-4.0,8.0,-6.0,-8.0,0,2,2,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0038,Cost Control Plan,DEPARTMENT-006,Operations,-4.0,8.0,-6.0,-8.0,2,1,2,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0039,Cost Control Plan,DEPARTMENT-007,IT,-4.0,8.0,-6.0,-8.0,3,3,1,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0040,Cost Control Plan,DEPARTMENT-008,Medical Care,-4.0,8.0,-6.0,-8.0,1,2,2,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0041,Cost Control Plan,DEPARTMENT-009,Training & Development,-4.0,8.0,-6.0,-8.0,3,1,1,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0042,Cost Control Plan,DEPARTMENT-010,Administration & Facilities,-4.0,8.0,-6.0,-8.0,2,1,3,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0043,Cost Control Plan,DEPARTMENT-011,Legal & Compliance,-4.0,8.0,-6.0,-8.0,1,1,3,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0044,Cost Control Plan,DEPARTMENT-012,Procurement & Supply Chain,-4.0,8.0,-6.0,-8.0,2,3,1,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0045,Cost Control Plan,DEPARTMENT-013,Logistics & Warehouse,-4.0,8.0,-6.0,-8.0,0,0,1,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0046,Cost Control Plan,DEPARTMENT-014,Production & Manufacturing,-4.0,8.0,-6.0,-8.0,3,3,3,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0047,Cost Control Plan,DEPARTMENT-015,Quality Assurance,-4.0,8.0,-6.0,-8.0,3,1,0,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0048,Cost Control Plan,DEPARTMENT-016,Research & Development,-4.0,8.0,-6.0,-8.0,1,0,2,12,Hiring restraint and natural attrition,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0049,Attrition Shock,DEPARTMENT-001,HR,0.0,35.0,0.0,5.0,2,0,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0050,Attrition Shock,DEPARTMENT-002,Finance,0.0,35.0,0.0,5.0,0,2,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0051,Attrition Shock,DEPARTMENT-003,Sales,0.0,35.0,0.0,5.0,0,1,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0052,Attrition Shock,DEPARTMENT-004,Customer Support,0.0,35.0,0.0,5.0,2,1,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0053,Attrition Shock,DEPARTMENT-005,Engineering,0.0,35.0,0.0,5.0,2,1,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0054,Attrition Shock,DEPARTMENT-006,Operations,0.0,35.0,0.0,5.0,0,3,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0055,Attrition Shock,DEPARTMENT-007,IT,0.0,35.0,0.0,5.0,2,1,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0056,Attrition Shock,DEPARTMENT-008,Medical Care,0.0,35.0,0.0,5.0,0,1,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0057,Attrition Shock,DEPARTMENT-009,Training & Development,0.0,35.0,0.0,5.0,0,3,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0058,Attrition Shock,DEPARTMENT-010,Administration & Facilities,0.0,35.0,0.0,5.0,1,3,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0059,Attrition Shock,DEPARTMENT-011,Legal & Compliance,0.0,35.0,0.0,5.0,2,2,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0060,Attrition Shock,DEPARTMENT-012,Procurement & Supply Chain,0.0,35.0,0.0,5.0,3,1,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0061,Attrition Shock,DEPARTMENT-013,Logistics & Warehouse,0.0,35.0,0.0,5.0,1,1,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0062,Attrition Shock,DEPARTMENT-014,Production & Manufacturing,0.0,35.0,0.0,5.0,0,3,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0063,Attrition Shock,DEPARTMENT-015,Quality Assurance,0.0,35.0,0.0,5.0,2,1,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0064,Attrition Shock,DEPARTMENT-016,Research & Development,0.0,35.0,0.0,5.0,2,1,0,12,Unexpected increase in employee exits,Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0065,Capacity Expansion,DEPARTMENT-001,HR,15.0,-3.0,18.0,20.0,0,1,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0066,Capacity Expansion,DEPARTMENT-002,Finance,15.0,-3.0,18.0,20.0,0,0,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0067,Capacity Expansion,DEPARTMENT-003,Sales,15.0,-3.0,18.0,20.0,0,3,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0068,Capacity Expansion,DEPARTMENT-004,Customer Support,15.0,-3.0,18.0,20.0,0,2,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0069,Capacity Expansion,DEPARTMENT-005,Engineering,15.0,-3.0,18.0,20.0,3,1,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0070,Capacity Expansion,DEPARTMENT-006,Operations,15.0,-3.0,18.0,20.0,1,1,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0071,Capacity Expansion,DEPARTMENT-007,IT,15.0,-3.0,18.0,20.0,2,3,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0072,Capacity Expansion,DEPARTMENT-008,Medical Care,15.0,-3.0,18.0,20.0,3,1,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0073,Capacity Expansion,DEPARTMENT-009,Training & Development,15.0,-3.0,18.0,20.0,1,2,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0074,Capacity Expansion,DEPARTMENT-010,Administration & Facilities,15.0,-3.0,18.0,20.0,0,3,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0075,Capacity Expansion,DEPARTMENT-011,Legal & Compliance,15.0,-3.0,18.0,20.0,2,2,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0076,Capacity Expansion,DEPARTMENT-012,Procurement & Supply Chain,15.0,-3.0,18.0,20.0,2,0,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0077,Capacity Expansion,DEPARTMENT-013,Logistics & Warehouse,15.0,-3.0,18.0,20.0,1,1,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0078,Capacity Expansion,DEPARTMENT-014,Production & Manufacturing,15.0,-3.0,18.0,20.0,3,0,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0079,Capacity Expansion,DEPARTMENT-015,Quality Assurance,15.0,-3.0,18.0,20.0,1,2,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
SCENARIO-ASSUMPTION-0080,Capacity Expansion,DEPARTMENT-016,Research & Development,15.0,-3.0,18.0,20.0,3,1,0,12,"New capacity, locations, or service lines",Synthetic scenario library for deterministic headcount simulation
