Position_Budget_ID,Fiscal_Year,Position_ID,Position_Title,Department_ID,Department_Name,Cost_Center_ID,Approved_Position,Budgeted_Position,Position_Status,Full_Time_Equivalent_Capacity,Annual_Salary_Budget,Annual_Benefits_Budget,Annual_Employer_Tax_and_Contribution_Budget,Annual_Recruitment_Budget,Annual_Training_Budget,Total_Annual_Position_Cost_Budget,Budget_Start_Date,Budget_End_Date,Budget_Status,Budget_Currency,Data_As_Of_Date
POSITION-BUDGET-0054,2026,POS-054,Software Engineer I,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0055,2026,POS-055,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0056,2026,POS-056,Operations Analyst,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0057,2026,POS-057,IT Support Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0058,2026,POS-058,Senior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,3564000,712800,285120,0,64151,4626071,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0059,2026,POS-059,Senior Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,2994000,598800,239520,0,53891,3886211,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0060,2026,POS-060,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0061,2026,POS-061,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0062,2026,POS-062,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0063,2026,POS-063,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0064,2026,POS-064,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0065,2026,POS-065,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0066,2026,POS-066,Senior HR Specialist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,2851000,570200,228080,0,51317,3700597,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0067,2026,POS-067,Operations Manager,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,4082000,816400,326560,0,73476,5298436,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0068,2026,POS-068,Customer Support Manager,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,3856000,771200,308480,0,69408,5005088,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0069,2026,POS-069,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0070,2026,POS-070,Engineering Lead,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,5670000,1134000,453600,0,102059,7359659,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0071,2026,POS-071,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0072,2026,POS-072,Support Team Lead,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,2424000,484800,193920,0,43632,3146352,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0073,2026,POS-073,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0074,2026,POS-074,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0075,2026,POS-075,Operations Analyst,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0076,2026,POS-076,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0077,2026,POS-077,Support Team Lead,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,2424000,484800,193920,0,43632,3146352,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0078,2026,POS-078,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0079,2026,POS-079,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0080,2026,POS-080,Engineering Lead,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,5670000,1134000,453600,0,102059,7359659,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0081,2026,POS-081,Senior HR Specialist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,2851000,570200,228080,0,51317,3700597,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0082,2026,POS-082,Software Engineer I,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,1215000,243000,97200,0,21870,1577070,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0083,2026,POS-083,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0084,2026,POS-084,HR Generalist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0085,2026,POS-085,Senior HR Specialist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,2851000,570200,228080,0,51317,3700597,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0086,2026,POS-086,Operations Officer,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,875000,175000,70000,0,15749,1135749,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0087,2026,POS-087,HR Manager,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,4536000,907200,362880,0,81648,5887728,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0088,2026,POS-088,Operations Analyst,DEPARTMENT-006,Operations,COST-CENTER-OPS,Yes,Yes,Filled,1.0,1575000,315000,126000,0,28349,2044349,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0089,2026,POS-089,HR Officer,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,972000,194400,77760,0,17496,1261656,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0090,2026,POS-090,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0091,2026,POS-091,Senior Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,3136000,627200,250880,0,56447,4070527,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0092,2026,POS-092,Senior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,3564000,712800,285120,0,64151,4626071,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0093,2026,POS-093,Senior Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,2994000,598800,239520,0,53891,3886211,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0094,2026,POS-094,Senior Systems Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0095,2026,POS-095,IT Operations Manager,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,5216000,1043200,417280,0,93888,6770368,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0096,2026,POS-096,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0097,2026,POS-097,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0098,2026,POS-098,Senior Support Executive,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,1487000,297400,118960,0,26765,1930125,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0099,2026,POS-099,Financial Analyst,DEPARTMENT-002,Finance,COST-CENTER-FIN,Yes,Yes,Filled,1.0,1925000,385000,154000,0,34650,2498650,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0100,2026,POS-100,Senior Software Engineer,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,3564000,712800,285120,0,64151,4626071,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0101,2026,POS-101,Systems Administrator,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,2012000,402400,160960,0,36216,2611576,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0102,2026,POS-102,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0103,2026,POS-103,Customer Support Representative,DEPARTMENT-004,Customer Support,COST-CENTER-CS,Yes,Yes,Filled,1.0,826000,165200,66080,0,15000,1072280,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0104,2026,POS-104,Senior Systems Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,3279000,655800,262320,0,59021,4256141,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0105,2026,POS-105,Sales Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,4763000,952600,381040,0,85734,6182374,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0106,2026,POS-106,Senior HR Specialist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,2851000,570200,228080,0,51317,3700597,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0107,2026,POS-107,Software Engineer II,DEPARTMENT-005,Engineering,COST-CENTER-ENG,Yes,Yes,Filled,1.0,2187000,437400,174960,0,39366,2838726,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0108,2026,POS-108,HR Generalist,DEPARTMENT-001,HR,COST-CENTER-HR,Yes,Yes,Filled,1.0,1750000,350000,140000,0,31499,2271499,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0109,2026,POS-109,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0110,2026,POS-110,IT Support Engineer,DEPARTMENT-007,IT,COST-CENTER-IT,Yes,Yes,Filled,1.0,1118000,223600,89440,0,20124,1451164,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0111,2026,POS-111,Account Manager,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1837000,367400,146960,0,33066,2384426,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
POSITION-BUDGET-0112,2026,POS-112,Sales Executive,DEPARTMENT-003,Sales,COST-CENTER-SAL,Yes,Yes,Filled,1.0,1021000,204200,81680,0,18378,1325258,2026-01-01,2026-12-31,Approved,PKR,2026-08-01
