Department_ID,Department,Business_Unit,Performance_Month,Employee_Count,Average_Performance_Score,Median_Performance_Score,Minimum_Performance_Score,Maximum_Performance_Score,Exceptional_Count,Strong_Count,Meets_Expectations_Count,Partially_Meets_Count,Improvement_Required_Count,Critical_KPI_Breach_Count,Average_Evidence_Quality,Data_As_Of_Date
DEPARTMENT-010,Administration & Facilities,Corporate Services,2025-10-01,45,82.35,83.08,64.81,94.9,4,26,14,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2025-10-01,45,81.08,81.53,66.44,90.51,1,28,15,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2025-10-01,45,81.68,80.49,71.85,93.68,4,20,21,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2025-10-01,45,81.96,83.45,67.0,90.84,4,24,14,3,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2025-10-01,45,82.26,81.67,69.5,92.53,6,22,16,1,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2025-10-01,45,82.24,83.02,68.29,94.19,4,27,13,1,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2025-10-01,45,81.37,80.92,69.08,96.7,4,23,17,1,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2025-10-01,45,81.87,82.16,68.95,92.67,4,24,16,1,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2025-10-01,45,81.45,79.7,67.32,95.59,6,15,23,1,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2025-10-01,45,80.71,81.27,66.64,91.02,2,24,16,3,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2025-10-01,45,81.59,81.58,66.71,94.59,4,22,16,3,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2025-10-01,45,80.94,81.37,66.44,91.8,3,23,17,2,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2025-10-01,45,82.66,81.98,72.18,93.57,4,26,15,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2025-10-01,45,81.76,82.11,65.44,89.67,0,29,15,1,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2025-10-01,45,79.38,79.48,69.47,91.56,1,19,23,2,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2025-10-01,45,79.75,81.5,60.97,94.98,3,25,12,5,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2025-11-01,45,82.29,82.99,65.79,94.35,3,26,15,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2025-11-01,45,81.1,82.28,65.35,89.42,0,28,15,2,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2025-11-01,45,81.75,80.56,72.79,94.5,5,20,20,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2025-11-01,45,81.96,82.68,66.14,91.49,2,26,14,3,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2025-11-01,45,82.13,81.52,69.67,92.22,6,19,19,1,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2025-11-01,45,82.29,83.54,68.49,94.47,3,27,14,1,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2025-11-01,45,81.2,80.85,69.88,96.48,4,20,20,1,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2025-11-01,45,81.67,81.5,69.68,93.44,4,23,17,1,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2025-11-01,45,81.64,80.64,66.5,94.45,6,18,20,1,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2025-11-01,45,80.79,80.59,66.73,91.68,2,24,17,2,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2025-11-01,45,81.54,81.71,67.92,93.87,5,24,12,4,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2025-11-01,45,81.01,80.86,67.42,91.13,2,26,15,2,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2025-11-01,45,82.82,82.15,73.18,93.64,4,25,16,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2025-11-01,45,81.7,81.75,66.98,89.66,0,27,17,1,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2025-11-01,45,79.09,79.06,69.32,91.0,1,20,23,1,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2025-11-01,45,79.99,81.21,64.52,95.4,3,24,14,4,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2025-12-01,45,82.25,82.17,64.12,94.36,2,29,13,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2025-12-01,45,81.11,81.91,65.79,90.38,1,29,14,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2025-12-01,45,81.79,80.61,72.21,94.55,5,20,20,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2025-12-01,45,82.22,82.81,68.0,91.44,7,21,14,3,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2025-12-01,45,82.47,81.1,70.55,91.91,6,23,16,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2025-12-01,45,82.55,83.3,70.18,94.02,4,27,14,0,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2025-12-01,45,81.78,81.7,70.35,96.28,4,26,15,0,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2025-12-01,45,82.08,82.55,70.52,93.5,4,26,15,0,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2025-12-01,45,81.76,80.93,68.35,94.42,6,20,18,1,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2025-12-01,45,81.09,81.41,68.06,91.19,3,25,15,2,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2025-12-01,45,81.71,82.17,67.84,93.91,5,24,13,3,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2025-12-01,45,81.34,81.7,69.29,91.36,1,29,14,1,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2025-12-01,45,83.1,82.77,72.14,92.78,5,27,13,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2025-12-01,45,81.8,81.53,68.63,90.89,1,27,16,1,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2025-12-01,45,79.18,78.91,69.38,90.32,1,18,25,1,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2025-12-01,45,80.41,82.0,64.84,94.78,3,26,12,4,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2026-01-01,45,82.7,83.16,66.09,94.09,3,28,13,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2026-01-01,45,81.36,82.39,65.63,90.86,1,28,15,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2026-01-01,45,82.14,81.05,72.58,94.81,5,20,20,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2026-01-01,45,82.58,83.24,68.17,91.62,6,23,15,1,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2026-01-01,45,82.9,81.35,70.23,93.27,5,27,13,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2026-01-01,45,82.86,83.44,70.66,93.8,5,26,14,0,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2026-01-01,45,82.15,82.21,72.07,96.35,4,24,17,0,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2026-01-01,45,82.4,82.95,72.58,93.6,4,27,14,0,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2026-01-01,45,82.22,80.98,68.01,94.31,6,22,16,1,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2026-01-01,45,81.32,81.4,67.83,92.43,3,24,16,2,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2026-01-01,45,82.23,82.66,68.5,93.81,3,29,12,1,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2026-01-01,45,81.65,81.29,70.69,90.91,2,28,15,0,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2026-01-01,45,83.6,83.24,73.61,93.2,4,29,12,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2026-01-01,45,82.16,82.28,68.38,91.28,1,27,16,1,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2026-01-01,45,79.51,79.12,69.91,89.91,0,20,23,2,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2026-01-01,45,80.71,82.11,66.71,94.72,3,24,14,4,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2026-02-01,45,82.88,83.34,68.15,94.22,3,29,12,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2026-02-01,45,81.53,82.4,66.26,91.13,2,27,15,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2026-02-01,45,82.34,81.54,72.56,94.26,5,23,17,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2026-02-01,45,83.0,83.69,70.05,92.28,5,25,15,0,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2026-02-01,45,83.08,81.65,70.84,92.81,6,25,14,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2026-02-01,45,83.14,84.44,70.82,92.47,4,29,12,0,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2026-02-01,45,82.5,83.0,73.08,96.15,5,26,14,0,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2026-02-01,45,82.42,82.82,71.79,93.68,4,27,14,0,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2026-02-01,45,82.5,82.03,70.12,94.43,6,24,15,0,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2026-02-01,45,81.5,81.72,67.27,92.13,2,25,16,2,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2026-02-01,45,82.59,83.11,69.4,93.91,5,27,12,1,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2026-02-01,45,81.78,82.12,70.58,90.68,2,27,16,0,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2026-02-01,45,83.82,83.75,75.3,93.22,5,29,11,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2026-02-01,45,82.41,83.14,68.79,90.43,1,26,17,1,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2026-02-01,45,79.74,79.71,70.69,91.55,1,21,23,0,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2026-02-01,45,81.32,82.02,67.78,94.69,3,27,11,4,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2026-03-01,45,82.79,83.88,68.13,94.06,3,29,12,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2026-03-01,45,81.29,82.51,65.13,91.34,1,29,14,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2026-03-01,45,82.19,81.23,72.45,93.91,4,23,18,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2026-03-01,45,82.42,82.91,70.48,92.34,7,22,16,0,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2026-03-01,45,82.89,82.59,71.19,91.81,5,26,14,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2026-03-01,45,82.85,84.19,70.96,92.52,3,30,12,0,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2026-03-01,45,82.33,82.6,72.1,95.1,4,26,15,0,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2026-03-01,45,82.32,82.59,72.17,92.69,4,29,12,0,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2026-03-01,45,82.72,82.43,70.71,94.45,6,23,16,0,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2026-03-01,45,81.34,82.08,67.01,91.91,2,27,14,2,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2026-03-01,45,82.64,82.6,69.52,94.35,4,28,11,2,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2026-03-01,45,81.84,81.75,71.02,90.87,2,27,16,0,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2026-03-01,45,84.01,84.2,75.87,92.89,5,29,11,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2026-03-01,45,82.44,83.51,70.52,91.14,2,28,15,0,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2026-03-01,45,79.59,79.74,69.75,91.17,1,21,22,1,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2026-03-01,45,81.52,81.96,68.7,94.0,3,27,13,2,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2026-04-01,45,82.59,83.27,68.56,92.86,2,28,14,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2026-04-01,45,80.97,81.8,65.41,90.65,2,26,15,2,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2026-04-01,45,82.05,81.01,71.38,94.28,4,24,17,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2026-04-01,45,82.35,83.09,70.12,91.74,5,23,17,0,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2026-04-01,45,82.87,82.07,71.11,92.33,5,27,13,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2026-04-01,45,82.87,83.56,71.15,91.81,3,29,13,0,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2026-04-01,45,82.07,82.47,72.55,94.74,3,26,16,0,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2026-04-01,45,82.18,82.91,70.03,92.98,4,28,13,0,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2026-04-01,45,82.69,82.21,70.58,93.98,6,23,16,0,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2026-04-01,45,81.1,81.79,67.03,91.04,2,25,16,2,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2026-04-01,45,82.64,83.06,70.74,93.83,2,32,11,0,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2026-04-01,45,81.61,81.6,71.52,90.64,1,27,17,0,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2026-04-01,45,83.97,83.34,73.74,93.0,5,31,9,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2026-04-01,45,82.19,82.45,71.58,91.22,1,27,17,0,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2026-04-01,45,79.39,79.62,69.54,90.59,1,20,22,2,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2026-04-01,45,81.46,81.6,68.58,93.33,3,28,13,1,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2026-05-01,45,82.47,82.84,69.99,92.95,2,28,14,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2026-05-01,45,80.89,81.64,65.4,90.52,1,26,17,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2026-05-01,45,81.9,80.3,71.84,94.5,4,20,21,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2026-05-01,45,82.59,82.71,70.0,92.3,4,28,12,1,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2026-05-01,45,82.85,82.23,70.23,92.06,4,29,12,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2026-05-01,45,83.04,83.0,71.1,92.28,3,30,12,0,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2026-05-01,45,82.3,82.58,72.22,94.11,3,28,14,0,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2026-05-01,45,82.08,82.52,71.33,92.53,3,29,13,0,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2026-05-01,45,82.7,82.07,72.21,93.4,5,26,14,0,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2026-05-01,45,81.17,81.72,66.88,91.73,2,26,14,3,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2026-05-01,45,82.42,82.29,71.3,93.39,1,30,14,0,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2026-05-01,45,81.53,81.56,70.8,90.5,2,27,16,0,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2026-05-01,45,83.9,83.81,74.66,93.61,5,31,9,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2026-05-01,45,82.15,82.56,72.16,92.69,2,26,17,0,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2026-05-01,45,79.25,79.17,70.03,91.44,1,18,26,0,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2026-05-01,45,81.38,81.75,70.21,94.29,3,26,16,0,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2026-06-01,45,82.51,83.33,69.09,92.96,3,28,13,1,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2026-06-01,45,81.09,82.08,65.42,90.65,1,28,15,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2026-06-01,45,82.01,81.2,71.82,94.37,5,23,17,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2026-06-01,45,82.8,83.62,70.91,92.51,4,25,16,0,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2026-06-01,45,83.01,82.22,70.7,92.25,4,30,11,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2026-06-01,45,83.28,83.79,70.8,92.17,2,32,11,0,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2026-06-01,45,82.41,82.38,71.15,94.93,3,30,12,0,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2026-06-01,45,82.45,83.07,71.75,93.09,3,29,13,0,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2026-06-01,45,82.93,82.1,73.35,93.38,4,30,11,0,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2026-06-01,45,81.28,81.41,67.46,92.27,2,27,14,2,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2026-06-01,45,82.72,83.46,71.37,93.39,1,31,13,0,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2026-06-01,45,81.67,81.28,70.65,90.77,2,27,16,0,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2026-06-01,45,84.33,84.31,74.75,94.15,6,32,7,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2026-06-01,45,82.4,82.48,73.33,92.61,4,26,15,0,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2026-06-01,45,79.35,79.01,69.73,90.67,1,19,24,1,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2026-06-01,45,81.82,82.45,70.33,94.02,3,27,15,0,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2026-07-01,45,82.99,83.81,70.39,92.93,3,32,10,0,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2026-07-01,45,81.23,81.98,65.65,90.85,1,27,16,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2026-07-01,45,82.28,80.62,71.88,94.95,5,23,17,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2026-07-01,45,83.21,84.67,70.36,92.27,7,24,14,0,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2026-07-01,45,83.26,82.8,71.33,92.73,5,30,10,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2026-07-01,45,83.68,84.37,71.96,92.09,5,30,10,0,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2026-07-01,45,82.99,83.05,72.51,93.79,3,30,12,0,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2026-07-01,45,82.64,83.6,71.8,93.41,3,30,12,0,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2026-07-01,45,83.35,83.28,74.31,93.84,4,31,10,0,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2026-07-01,45,81.63,82.05,67.47,91.93,2,26,15,2,0,0,0.89,2026-08-01
DEPARTMENT-012,Procurement & Supply Chain,Enterprise Operations,2026-07-01,45,83.24,83.74,71.13,93.73,2,32,11,0,0,0,0.91,2026-08-01
DEPARTMENT-014,Production & Manufacturing,Industrial Operations,2026-07-01,45,82.31,81.97,70.59,92.29,3,32,10,0,0,0,0.91,2026-08-01
DEPARTMENT-015,Quality Assurance,Industrial Operations,2026-07-01,45,84.67,84.33,75.28,94.73,5,34,6,0,0,0,0.91,2026-08-01
DEPARTMENT-016,Research & Development,Technology and Innovation,2026-07-01,45,82.66,82.86,73.15,93.82,3,27,15,0,0,0,0.91,2026-08-01
DEPARTMENT-003,Sales,Commercial Services,2026-07-01,45,79.66,80.31,70.16,90.07,1,22,22,0,0,0,0.89,2026-08-01
DEPARTMENT-009,Training & Development,Learning Services,2026-07-01,45,82.53,82.54,70.46,93.93,3,28,14,0,0,0,0.91,2026-08-01
DEPARTMENT-010,Administration & Facilities,Corporate Services,2026-08-01,45,83.14,84.12,71.29,92.5,4,30,11,0,0,0,0.91,2026-08-01
DEPARTMENT-004,Customer Support,Commercial Services,2026-08-01,45,81.42,82.27,66.57,90.34,2,28,14,1,0,0,0.89,2026-08-01
DEPARTMENT-005,Engineering,Technology and Innovation,2026-08-01,45,82.58,81.75,72.07,94.68,5,24,16,0,0,0,0.9,2026-08-01
DEPARTMENT-002,Finance,Corporate Services,2026-08-01,45,83.29,83.9,71.33,92.02,5,26,14,0,0,0,0.9,2026-08-01
DEPARTMENT-001,HR,Corporate Services,2026-08-01,45,83.52,83.27,71.91,92.44,5,30,10,0,0,0,0.9,2026-08-01
DEPARTMENT-007,IT,Technology and Innovation,2026-08-01,45,83.79,85.36,70.87,91.88,4,30,11,0,0,0,0.9,2026-08-01
DEPARTMENT-011,Legal & Compliance,Corporate Services,2026-08-01,45,83.27,83.08,72.3,93.56,5,30,10,0,0,0,0.91,2026-08-01
DEPARTMENT-013,Logistics & Warehouse,Enterprise Operations,2026-08-01,45,82.86,83.72,70.21,93.45,3,31,11,0,0,0,0.91,2026-08-01
DEPARTMENT-008,Medical Care,Healthcare Services,2026-08-01,45,83.79,83.92,75.47,93.52,5,29,11,0,0,0,0.91,2026-08-01
DEPARTMENT-006,Operations,Enterprise Operations,2026-08-01,45,81.89,81.27,68.59,92.34,2,26,15,2,0,0,0.89,2026-08-01
